"SITE_ID","VISIT_NO","RT_WQI","CL_pt","SO4_pt","PTL_pt","NTL_pt","TURB_pt","ENTERO_PT","DO_PT","PH_PT","NUMVARN","WQII"
"FW08AR088",1,"S",10,9.421119242,10,10,3.024390244,10,10,10,8,90.56
"FW08AR093",1,"?",10,10,0,0,0,10,2,10,8,52.5
"FW08AR094",1,"S",5.993484962,10,7.841565714,10,0,0,0,10,8,54.79
"FW08AR099",1,"S",10,10,10,10,7.391304348,NA,10,10,7,96.27
"FW08AR111",1,"T",9.863625826,10,10,10,3.546910755,10,10,10,8,91.76
"FW08AR112",1,"R",10,10,10,10,1.029748284,10,10,10,8,88.79
"FW08AR114",1,"R",10,10,10,10,10,0,10,10,8,87.5
"FW08AR116",1,"R",10,7.583796814,0,0.107526882,0,10,10,10,8,59.61
"FW08AR122",1,"T",10,8.040886784,0,0,0,10,10,10,8,60.05
"FW08AR124",1,"S",9.838215015,10,0,7.547169811,0,10,10,10,8,71.73
"FW08AR133",1,"S",9.778923123,10,6.292623907,1.433962264,10,10,10,10,8,84.38
"FW08AR141",1,"T",0,0,2.868137143,8.258064516,10,10,10,10,8,63.91
"FW08AR142",1,"S",10,10,10,10,6.864988558,10,10,10,8,96.08
"FW08AR145",1,"T",3.893940602,7.574834266,0,0,0,0,10,10,8,39.34
"FW08AR146",1,"S",10,10,10,10,5.011441648,10,10,10,8,93.76
"FW08AR147",1,"R",10,10,10,10,0,10,10,10,8,87.5
"FW08AR148",1,"S",10,10,6.810495627,3.660377358,0,10,10,10,8,75.59
"FW08AR151",1,"T",0,0,0,0,10,10,10,10,8,50
"FW08AR153",1,"T",7.923933934,10,10,9.20754717,10,NA,10,10,7,95.9
"FW08AR161",1,"S",2.812357143,10,0.704,0,8.963414634,0,10,10,8,53.1
"FW08AR177",1,"T",5.374382583,10,3.581253644,0,10,0,10,10,8,61.19
"FW08AR179",1,"S",10,10,0,8.490566038,0,0,10,10,8,60.61
"FW08AR188",1,"S",7.712177177,10,0,9.547169811,0,10,0,10,8,59.07
"FW08AR192",1,"S",8.991187988,10,0,0,0,10,10,10,8,61.24
"FW08AR205",1,"S",0,0,0,0,NA,10,10,NA,6,NA
"FW08AR218",1,"?",9.662385714,1.982204046,0,7.075268817,0,10,10,10,8,60.9
"FW08AR236",1,"S",0,4.04537983,0,0,0,10,0,10,8,30.06
"FW08AR255",1,"T",9.956798799,9.710539114,4.184956268,0,0,0,7.5,10,8,51.69
"FW08AR274",1,"S",0,0,0,0,NA,0,10,NA,6,NA
"FW08AR276",1,"S",0,8.600858624,0,0,0,10,0,10,8,35.75
"FW08AR303",1,"?",6.173748872,3.936039604,0,0,0,NA,10,10,7,43.01
"FW08AR307",1,"T",6.145177177,9.590838831,0,2.264150943,0,0,10,10,8,47.5
"FW08AR311",1,"S",0,10,10,4.860215054,2.243902439,10,10,10,8,71.38
"FW08AR320",1,"S",10,10,7.625714286,10,10,0,10,10,8,84.53
"FW08AZ008",1,"R",8.171625908,10,10,0,10,10,10,10,8,85.21
"FW08AZ008",2,"R",8.090027065,10,10,0.52,10,10,10,10,8,85.76
"FW08AZ005",1,"S",10,10,0,2.25,0,NA,9.5,10,7,59.64
"FW08AZ004",1,"S",6.186054066,10,10,10,10,0,10,10,8,82.73
"FW08AZ007",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08AZ006",1,"S",10,10,0,10,0,10,10,10,8,75
"FW08AZ003",1,"R",8.209369369,7.721903955,10,10,4.050632911,NA,10,10,7,85.69
"FW08AZ009",1,"S",5.900458116,8.656048598,10,8.38,10,10,10,10,8,91.17
"FW08AZ013",1,"S",8.142612986,8.63464486,10,7.9,10,10,10,10,8,93.35
"FW08AZ019",1,"T",0.719838251,9.64479012,0,0,1.194867682,0,7.5,10,8,36.32
"FW08AZ019",2,"T",0,9.360148198,0,0,10,0,5.5,10,8,43.58
"FW08AZ022",1,"R",10,10,9.590136054,10,10,0,10,10,8,86.99
"FW08AZ024",1,"T",10,10,0,2.44,0,10,10,10,8,65.55
"FW08AZ028",1,"T",0,0,0,0,0,10,10,10,8,37.5
"FW08AZ034",1,"S",6.1225883,8.788918558,10,8.28,10,0,10,10,8,78.99
"FW08AZ044",1,"T",0,0,0.869565217,10,10,0,10,10,8,51.09
"FW08AZ045",1,"S",5.986590228,8.715256342,10,8.2,10,10,10,10,8,91.13
"FW08AZ048",1,"T",0,4.340124294,8.183413043,0,0,10,10,10,8,53.15
"FW08AZ050",1,"S",0,0,10,10,8.043303929,NA,10,10,7,68.63
"FW08AZ057",1,"S",5.876885117,8.654102804,10,8.22,10,10,10,10,8,90.94
"FW08AZ062",1,"T",3.365454066,6.001151135,10,6.44,10,10,10,10,8,82.26
"FW08AZ062",2,"T",3.549504789,6.048684112,10,6.66,10,10,10,10,8,82.82
"FW08AZ073",1,"S",5.769899968,8.652157009,10,8.22,10,10,10,10,8,90.8
"FW08AZ074",1,"S",3.59483748,6.134299065,10,5.88,10,NA,10,10,7,79.44
"FW08AZ074",2,"S",3.72811559,6.10983765,10,5.88,10,NA,10,10,7,79.6
"FW08AZ075",1,"R",5.568622822,10,10,10,10,10,10,10,8,94.46
"FW08AZ077",1,"S",8.244158213,8.644095861,10,8.04,10,10,10,10,8,93.66
"FW08AZ087",1,"S",0,10,10,10,10,0,9.5,10,8,74.38
"FW08AZ090",1,"T",0,0,10,2.84,10,10,10,10,8,66.05
"FW08AZ093",1,"S",8.3719964,8.548751936,10,7.88,10,10,NA,10,7,92.57
"FW08AZ098",1,"S",6.059122533,8.744165287,10,7.04,10,10,10,10,8,89.8
"FW08AZ100",1,"S",9.827175763,10,10,10,10,0,10,10,8,87.28
"FW08AZ107",1,"S",10,10,10,10,9.478748998,10,10,10,8,99.35
"FW08AZ109",1,"S",6.024669688,8.748334846,10,7.94,10,10,10,10,8,90.89
"FW08AZ134",1,"S",0,9.227000267,3.617832847,0,0,10,10,10,8,53.56
"FW08AZ139",1,"R",0,10,10,10,8.933440257,10,10,10,8,86.17
"FW08AZ155",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08AZ171",1,"S",8.802288288,10,0,10,10,10,10,10,8,86
"FW08AZ194",1,"T",7.31755802,10,0,0,9.615076183,0,10,10,8,58.67
"FW08AZ260",1,"S",9.67754955,10,0,0,0,NA,10,10,7,56.68
"FW08RAZ9016",1,"S",6.741189189,8.045378531,10,10,10,10,10,10,8,93.48
"FW08RAZ9020",1,"S",10,10,10,10,9.855653569,0,3,10,8,78.57
"FW08RAZ9022",1,"R",10,10,5.474246842,10,10,10,NA,10,7,93.53
"FW08RAZ9031",1,"R",1.164927928,10,0,0,0,NA,10,10,7,44.52
"FW08RAZTRB01",1,"R",0,0,6.987369565,0,10,10,10,10,8,58.73
"FW08CA009",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08CA008",1,"S",0,9.062853107,10,3.9375,10,10,10,10,8,78.75
"FW08CA004",1,"T",6.696500161,10,0,0,10,10,10,10,8,70.87
"FW08CA004",2,"T",9.800882803,10,0,0,7.080994387,10,10,10,8,71.1
"FW08CA015",1,"T",0,0,10,9.8125,10,10,10,10,8,74.77
"FW08CA007",1,"S",9.683924462,5.178358077,0,10,10,10,10,10,8,81.08
"FW08CA005",1,"S",10,10,10,10,10,0,10,10,8,87.5
"FW08CA010",1,"S",10,10,10,10,1.772151899,10,10,10,8,89.72
"FW08CA011",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08CA001",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08CA001",2,"R",10,10,10,10,10,10,10,10,8,100
"FW08CA012",1,"S",0.063792793,0,10,10,10,0,10,10,8,62.58
"FW08CA016",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CA006",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08CA002",1,"T",10,10,10,10,10,10,10,10,8,100
"FW08CA013",1,"S",0,10,10,6,1.012658228,10,10,10,8,71.27
"FW08CA017",1,"S",10,10,10,10,10,10,3.5,10,8,91.88
"FW08CA020",1,"S",5.71063964,10,0,0,0,10,10,10,8,57.14
"FW08CA020",1,"S",6.34590991,10,0,0,4.620253165,10,10,10,8,63.71
"FW08CA022",1,"T",7.261345484,0.797818959,10,0,10,10,10,10,8,72.57
"FW08CA031",1,"T",10,10,10,10,9.983961508,10,10,10,8,99.98
"FW08CA031",1,"T",10,10,10,10,10,0,10,10,8,87.5
"FW08CA035",1,"T",10,10,10,10,10,10,10,10,8,100
"FW08CA036",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CA038",1,"T",0,9.836867824,0,0,10,0,10,10,8,49.8
"FW08CA040",1,"S",4.567153153,10,0,0,0,10,10,10,8,55.71
"FW08CA044",1,"S",0.896702703,7.451361582,0,0,0,10,10,10,8,47.94
"FW08CA046",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CA054",1,"S",10,10,10,10,10,NA,10,10,7,100
"FW08CA056",1,"S",6.388261261,10,8.302434783,2.625,0,10,10,10,8,71.64
"FW08CA059",1,"S",10,10,10,9.8125,0,10,10,10,8,87.27
"FW08CA061",1,"T",10,10,1.341107872,0,10,10,10,10,8,76.68
"FW08CA063",1,"S",4.665972973,0.776022599,10,10,2.405063291,10,10,10,8,72.31
"FW08CA067",1,"T",10,10,10,10,10,0,10,10,8,87.5
"FW08CA068",1,"S",4.863612613,10,0,0,0,10,10,10,8,56.08
"FW08CA075",1,"S",10,10,10,10,1.898734177,NA,10,10,7,88.43
"FW08CA097",1,"R",10,10,8.849484937,10,10,10,10,10,8,98.56
"FW08CA102",1,"R",0,10,0,10,2.658227848,10,0,10,8,53.32
"FW08CA116",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CA132",1,"S",10,9.192242938,0,6.875,0,10,10,10,8,70.08
"FW08CA139",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CA145",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08CA155",1,"T",9.317636323,10,10,10,10,NA,10,10,7,99.03
"FW08CA168",1,"S",5.061252252,10,10,7.8125,10,10,10,10,8,91.09
"FW08CA170",1,"S",10,10,3.807869565,10,10,10,10,10,8,92.26
"FW08CA199",1,"S",10,10,10,0,10,0,10,10,8,75
"FW08CA207",1,"T",2.336648649,0,10,10,10,10,10,10,8,77.92
"FW08CA222",1,"T",10,10,10,10,10,10,10,10,8,100
"FW08RCA9002",1,"S",9.663432432,10,10,10,10,NA,10,10,7,99.52
"FW08RCA9003",1,"S",8.618765766,10,10,10,10,NA,2.5,10,7,87.31
"FW08CO014",1,"T",10,10,10,10,10,0,10,10,8,87.5
"FW08CO004",1,"T",10,10,10,10,10,0,10,10,8,87.5
"FW08CO010",1,"S",10,10,10,10,10,0,10,10,8,87.5
"FW08CO015",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CO020",1,"S",10,5.594454831,8.869102041,8.212765957,10,NA,10,10,7,89.54
"FW08CO003",1,"S",10,9.133880107,10,10,1.042502005,10,10,10,8,87.72
"FW08CO003",2,"S",10,8.965429907,10,10,9.975942261,10,10,10,8,98.68
"FW08CO007",1,"S",9.999629701,10,10,10,10,10,10,10,8,100
"FW08CO019",1,"T",9.999956664,10,10,10,10,0,10,10,8,87.5
"FW08CO017",1,"R",10,7.098480226,10,10,0.886075949,0,10,10,8,72.48
"FW08CO006",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CO001",1,"T",10,0,10,7.92,0,0,10,10,8,59.9
"FW08CO001",2,"T",10,0,1.956268222,2.92,0,10,10,10,8,56.1
"FW08CO012",1,"T",7.757621622,10,7.083413043,0.8125,0,10,10,10,8,69.57
"FW08CO013",1,"R",10,1.07053975,10,10,6.216981132,10,10,10,8,84.11
"FW08CO021",1,"S",10,3.787671028,2.326404276,5.18,0,10,10,10,8,64.12
"FW08CO023",1,"T",10,10,0,10,7.405063291,10,10,10,8,84.26
"FW08CO025",1,"S",10,5.285376769,9.868435374,0,0,10,10,10,8,68.94
"FW08CO025",2,"S",10,5.350699866,4.810855199,0,1.275060144,10,10,10,8,64.3
"FW08CO027",1,"R",10,10,10,7.9375,0,10,10,10,8,84.92
"FW08CO028",1,"R",10,5.639360713,10,10,10,10,10,10,8,94.55
"FW08CO029",1,"S",10,10,0,10,10,10,10,10,8,87.5
"FW08CO031",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CO032",1,"T",9.826266703,6.488490125,8.197755102,0,9.45754717,10,10,10,8,79.96
"FW08CO033",1,"S",10,10,8.039718173,9.52,9.76744186,10,10,10,8,96.66
"FW08CO036",1,"T",9.887299778,7.999925633,0,0,3.16509434,10,10,10,8,63.82
"FW08CO037",1,"S",10,10,6.832964043,10,0,10,10,10,8,83.54
"FW08CO038",1,"S",10,0,10,9.25,0,10,10,10,8,74.06
"FW08CO046",1,"S",0,0,10,10,0,10,10,10,8,62.5
"FW08CO046",2,"S",0,0,10,7.625,0.506329114,10,10,10,8,60.16
"FW08CO047",1,"T",9.881850397,10,0,0,10,0,10,10,8,62.35
"FW08CO049",1,"S",10,10,5.278911565,10,7.433841219,10,10,10,8,90.89
"FW08CO050",1,"S",10,0,7.641565217,10,10,10,10,10,8,84.55
"FW08CO053",1,"S",9.221531019,8.643817891,0,3.76,0,10,10,10,8,64.53
"FW08CO054",1,"S",0,0,10,0.875,0,10,10,10,8,51.09
"FW08CO055",1,"S",9.691666667,9.127548023,8.951086957,10,0,10,10,10,8,84.71
"FW08CO059",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CO060",1,"R",10,0.379879857,6.851477551,10,4.259433962,NA,10,10,7,73.56
"FW08CO062",1,"T",6.585900901,0,10,6.125,0,0,10,10,8,53.39
"FW08CO066",1,"S",10,10,9.810738581,9.96,5.461106656,10,10,10,8,94.04
"FW08CO072",1,"R",10,5.540716221,8.262677551,10,0.174528302,10,10,10,8,79.97
"FW08CO073",1,"S",10,10,10,10,9.807538091,0,10,10,8,87.26
"FW08CO076",1,"S",10,10,3.174004082,6.744680851,10,10,10,10,8,87.4
"FW08CO083",1,"R",0,0,10,10,10,10,10,10,8,75
"FW08CO085",1,"T",10,6.977661949,0,5.62,0,10,10,10,8,65.75
"FW08CO086",1,"T",0,5.73400565,8.520652174,0,0,10,10,10,8,55.32
"FW08CO087",1,"S",4.327162162,10,0,0,0,10,10,10,8,55.41
"FW08CO103",1,"S",10,10,10,9.625,0,10,10,10,8,87.03
"FW08CO123",1,"R",10,10,4.834782609,4.5,0,10,10,10,8,74.17
"FW08CO125",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08CO129",1,"S",10,9.774497175,6.752978261,10,3.101265823,10,10,10,8,87.04
"FW08CO136",1,"S",10,10,2.644844898,10,0,10,10,10,8,78.31
"FW08CO138",1,"R",10,0,10,6.4375,7.974683544,10,10,10,8,80.52
"FW08CO143",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08CO171",1,"R",10,6.727954802,10,10,10,10,10,10,8,95.91
"FW08CT002",1,"T",0.300514085,6.713970315,8.633098592,10,10,10,10,10,8,82.06
"FW08CT002",2,"T",0.525632394,6.617402597,10,10,10,10,10,10,8,83.93
"FW08CT003",1,"S",10,7.389944341,5.503859155,10,10,NA,10,10,7,89.85
"FW08CT004",1,"T",0,0,5.965492958,0,10,NA,10,10,7,51.38
"FW08CT005",1,"S",0,5.709666048,0,3.496732026,6.860465116,0,10,10,8,45.08
"FW08CT005",2,"S",0,2.638812616,0,0,8.953488372,10,10,10,8,51.99
"FW08CT006",1,"S",0,0,7.459323944,0,10,0,10,10,8,46.82
"FW08CT007",1,"S",0.353483099,2.793320965,0.217943662,2.549019608,10,10,10,10,8,57.39
"FW08CT008",1,"T",0,0,10,0,10,10,10,10,8,62.5
"FW08CT009",1,"T",1.008974648,0,0,0,0,10,10,10,8,38.76
"FW08CT012",1,"S",0.816961972,3.507922078,2.006338028,4.803921569,10,10,10,10,8,63.92
"FW08CT015",1,"S",0,5.439276438,7.604929577,8.267973856,3.604651163,10,10,10,8,68.65
"FW08CT016",1,"S",0,5.033692022,0,0,4.593023256,10,10,10,8,49.53
"FW08CT016",2,"S",0,1.846957328,0,0,10,0,10,10,8,39.81
"FW08CT017",1,"S",0.459421127,2.2332282,7.513549296,4.31372549,10,0,10,10,8,55.65
"FW08CT018",1,"S",3.961997183,10,10,10,10,10,10,10,8,92.45
"FW08CT020",1,"S",0,5.091632653,9.931323944,6.895424837,0,10,10,10,8,64.9
"FW08CT021",1,"S",2.862890141,5.072319109,6.981690141,7.712418301,10,10,10,10,8,78.29
"FW08CT022",1,"S",0,0.128051948,8.852647887,0.91503268,10,0,10,10,8,49.87
"FW08CT023",1,"S",0.141607042,2.464990724,0,1.960784314,10,10,10,10,8,55.71
"FW08CT024",1,"S",0.624949296,6.231131725,0,0,10,10,10,10,8,58.57
"FW08CT025",1,"S",1.419484507,3.990760668,6.10315493,6.37254902,10,10,10,10,8,72.36
"FW08CT027",1,"T",10,7.75690167,6.119887324,10,10,NA,10,10,7,91.25
"FW08CT030",1,"S",0,7.003673469,6.60228169,0.326797386,10,10,10,10,8,67.42
"FW08CT030",2,"S",0,3.025083488,10,0,10,10,10,10,8,66.28
"FW08CT032",1,"S",0,0,0,0,9.593023256,0,10,10,8,36.99
"FW08DE001",1,"S",0.320473684,5.683736548,5.340422857,0,10,0,10,10,8,51.68
"FW08DE001",2,"S",0,9.931984503,0.448137143,0,0,0,2.5,10,8,28.6
"FW08DE002",1,"S",5.293636842,9.197055532,10,0,10,NA,10,10,7,77.84
"FW08DE005",1,"T",0,0,6.886285714,0,10,10,10,10,8,58.61
"FW08DE005",2,"T",0,0,9.670422857,0,10,10,10,10,8,62.09
"FW08DE008",1,"S",10,10,10,9.268817204,0.853658537,0,4.5,10,8,68.28
"FW08DE009",1,"T",0,8.953091423,0,0,10,10,10,10,8,61.19
"FW08DE010",1,"S",0.627982707,7.449358588,9.942354286,0,10,10,10,10,8,72.52
"FW08DE010",2,"S",0,3.281773569,9.821714286,0,10,10,10,10,8,66.38
"FW08DE011",1,"S",0,0,10,0,10,0,8,10,8,47.5
"FW08DE012",1,"S",0,0,0,0,10,0,10,10,8,37.5
"FW08DE013",1,"T",0,3.640275506,5.767428571,0,0,10,10,10,8,49.26
"FW08DE014",1,"S",2.748734586,9.062617305,10,0,10,10,10,10,8,77.26
"FW08DE015",1,"S",8.50657594,10,9.704857143,0,6.097560976,10,1,10,8,69.14
"FW08DE021",1,"T",0,9.513327992,6.273877551,0,10,10,10,10,8,69.73
"FW08DE025",1,"T",0,9.799823751,1.533702624,0,10,0,10,10,8,51.67
"FW08DE025",2,"T",0,9.961713478,0,0,10,0,10,10,8,49.95
"FW08DE028",1,"S",6.873596992,2.546844598,0.800422857,1.806451613,9.756097561,10,7,10,8,60.98
"FW08DE030",1,"S",9.376084211,10,10,7.225806452,0,10,10,10,8,83.25
"FW08DE034",1,"S",0,10,0,0,0,10,NA,10,7,42.86
"FW08DE040",1,"S",1.730773684,4.859182092,0.93128,0,0,10,10,10,8,46.9
"FW08DE043",1,"S",8.241481955,6.230452002,0,0,10,0,7.5,10,8,52.46
"FW08DE044",1,"S",0,7.718235041,1.72728,0,0,10,3.5,10,8,41.18
"FW08DE046",1,"S",4.752845113,7.9512613,9.029851429,0,10,10,10,10,8,77.17
"FW08DE049",1,"T",0,0,10,0,10,10,7.5,10,8,59.38
"FW08FL002",1,"T",9.577555639,7.028118812,10,10,10,10,8,10,8,93.26
"FW08FL005",1,"S",10,10,5.99136,10,10,10,10,10,8,94.99
"FW08FL005",2,"S",10,10,8.303565714,10,10,10,4.5,10,8,91
"FW08FL006",1,"S",10,10,10,3.462365591,0,10,10,10,8,79.33
"FW08FL006",2,"S",10,9.815471373,10,10,10,10,10,10,8,99.77
"FW08FL007",1,"T",0,5.692699096,8.263714286,3.784946237,10,10,0,10,8,59.68
"FW08FL009",1,"R",10,10,9.302422857,0,10,10,10,10,8,86.63
"FW08FL010",1,"S",8.962537594,0,0.934857143,0.064516129,10,10,10,10,8,62.45
"FW08FL013",1,"R",10,10,10,10,10,10,10,7.8,8,97.25
