SITE_ID,VISIT_NO,PUBLICATION_DATE,YEAR,DATE_COL,STATE,LOC_NAME,SITE_CLASS,AGGR_ECO3_2015,AGGR_ECO9_2015,ECO10,US_L3CODE_2015,US_L4CODE_2015,EPA_REG,LAT_DD83,LON_DD83,HUC8,URBAN,STRAHLERORDER,MISS_SUB,LMR_SITE,GREAT_RIVER,RT_NRSA,RT_NRSA_FISH,RT_NRSA_PHAB,RT_NRSA_CAT,XLAT_DD,XLON_DD,WGTNRSA09,MASTER_SITEID,INDEX_VISIT,INDEXVIS_FTIS,WSAREA_NARS,MMI_BENT,OE_SCORE_OLD,UID,OE_SCORE,NH4,NH4_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,K,K_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NO2,NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT,PROTOCOL,XDEPTH_CM,SDDEPTH_CM,XWIDTH,XWXD,RP100,XBKF_W,XBKF_H,XINC_H,SINU,XSLOPE,REACHLEN,LSUB_DMM,XEMBED,PCT_FN,PCT_SAFN,PCT_SFGF,LDCBF_G08,LDMB_BW5,LRBS_BW5,LRBS_G08,PCT_FAST,PCT_SLOW,RPRAT,PCT_BDRK,XFC_ALG,XFC_AQM,XFC_LWD,XFC_NAT,V1W_MSQ,XCDENBK,XCDENMID,XCL,XGB,XGW,XC,XCMGW,QR1,QRVEG1,RDIST1,W1_HALL,W1H_WALL,W1_HNOAG,W1_HAG,REALM,W1H_CROP,XSLOPE_use,XWIDTH_use,Lpt01_XCMGW,Lpt01_XFC_NAT,LRBS_use,RDIST_COND,LRBS_Cond_use,LOE_RBS_use,LXCMGW_Cond_use,LOE_XCMGW_use,LXFC_NAT_Cond_use,LOE_XFC_NAT_use,Qbkf_cl,LQbkf_cl,Qbkf_kmcl,LQbkf_kmcl,QLow_cl,LQLow_cl,QLow_kmcl,LQLow_kmcl,LOE_QLow_cl,LOE_Qbkf_cl,UNIQUE_ID,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII,SAMPLE_ID,dD..vsmow.,d18O..vsmow.,d.excess,AG_ECO5
FW08IA035,1,9/1/2015,2009,2009-08-19,IA,Little Rock River,PROB,PLNLOW,TPL,PL-NCULT,47,47a,7,43.26844196,-96.21303224,10170204,NonUrban,5th,Lower Missouri Region,NA,NA,S,S,T,Intermediate Disturbance,43.26833,96.21281,270.4963018,FW08IA035,YES,YES,1225.819946,74.5,1.2489342,14325,1.292798125,0.016,R,4282.14,NA,73.27,NA,23.96,NA,18,NA,705.77,NA,2.36,NA,37.54,NA,14.35,NA,2.381,NA,2.06697,NA,NA,NA,0,R,2390,NA,8.32,NA,52.853,NA,13.41,NA,109.51,NA,17,NA,7.46,NA,WADEABLE,63.21,23.86972005,16.765,10.6884,22.31897099,23.35454545,0.472727273,1.136363636,1.988104233,0.047746532,594,-0.369284856,87.90909091,19.04761905,69.52380952,95.23809524,0.540266104,0.459667247,-0.828952103,-0.90955096,0,100,0.353092406,0,0,0,0.009090909,0.081818182,2.59e-4,43.04812834,0.267379679,0.002272727,0.354545455,0.419318182,0.109090909,0.780681818,0.586406619,0.451306818,0.083337153,0.090913636,0,0,0.090913636,WADEABLE,0.030304545,0.085925926,16.765,-0.101998248,-1.037071311,-1.209161096,1 Low,Good,-0.392215882,Good,0.037893331,Medi,-0.265370292,5.145464675,0.711424601,0.004280883,-2.368466679,0.632600566,-0.198870424,5.26306e-4,-3.278761704,-0.504248113,-0.806730222,NRS_IA-10070,S,0,8.900320941,10,0,10,10,10,10,8,73.63,554471,-51.08,-7,4.9,Midwest
FW08IA036,1,9/1/2015,2008,2008-08-18,IA,Little Buffalo Creek,PROB,PLNLOW,TPL,PL-NCULT,47,47b,7,43.35914965,-93.86842916,7100003,NonUrban,2nd,Upper Mississippi Region,NA,NA,S,S,T,Intermediate Disturbance,43.35914,93.86883,1926.275736,FW08IA036,YES,NA,99.73259735,20.58,1.374033211,11245,1.177783087,0.049,NA,3862.47,NA,60.59,NA,18.37,NA,18,NA,530.65,NA,5.28,NA,28.14,NA,7.275,NA,2.743,NA,0.21887,NA,NA,NA,0.00582,R,886,NA,8.52,NA,35.9075,NA,10.632,NA,58.79,NA,10.2,NA,6.68,NA,WADEABLE,23.68,8.81330491,4.7125,1.182875,11.55128542,5.486363636,12.63181818,0.903636364,1.017004929,0.064458082,198,-0.418543934,86.18181818,28.57142857,64.76190476,88.57142857,2.297634695,1.750583894,-2.169127829,-2.71617863,2,98,0.487807661,0,0,0,0,0.159090909,0,87.96791444,0,0,0.25,0,0,0,0.442336598,0.1,0.029413192,0.030304545,0,0.030304545,0,WADEABLE,0,0.112777778,4.7125,-2,-0.771879741,-2.941944062,1 Low,Poor,-2.155413116,Poor,-1.89692454,Good,-0.098688973,312.1169496,2.494317354,3.106243994,0.492235566,0.016393509,-1.78532809,1.63151e-4,-3.787409878,-0.878170101,1.582645932,NRS_IA-10071,S,0,9.72332024,10,8.644906034,10,0,10,10,8,72.96,528781,-45.37,-6.52,6.8,Midwest
FW08IA037,1,9/1/2015,2009,2009-08-11,IA,Mississippi River,PROB,PLNLOW,TPL,NA,72,72d,5,40.87469553,-91.04809262,7080104,NonUrban,8th+,Upper Mississippi Region,NA,X,S,S,S,Intermediate Disturbance,40.87469,91.04809,162.3652008,FW08IA037,YES,YES,293150,36.9,1.07650561,14326,1.086545476,0.041,NA,3534.02,NA,49.69,NA,24.37,NA,8,NA,454.88,NA,4.17,H,25.18,NA,13.67,NA,2.671,NA,1.818,NA,NA,NA,0.00383,R,2560,H,8.4,NA,235.4613,NA,5.151,H,28.21,NA,76.4,NA,38.44,NA,BOATABLE,579.7235644,75.64693868,559.1490909,3242.892473,52.03420283,561.6045455,1.536363636,2.5,1.562258297,0.012192,4012,-0.460409377,NA,0,100,NA,1.281504701,0.75476825299999994,-1.21517763,-1.741914078,0,100,8.975692214,NA,0,0,0.022727273,0.118181818,0.002760455,28.86456908,NA,0.5625,0.598863636,0.054545455,0.739772727,1.125,0.432451946,0.60625,0.6292139,1.696972727,0.068181818,1.696972727,0,BOATABLE,0,0.012192,559.1490909,0.054995862,-0.892173573,-1.741914078,3 High,Medi,-1.413363014,Good,0.137485862,Medi,-0.336711721,4519.256377,3.65506698,0.015407477,-1.812268487,3162.420784,3.500019656,0.010781624,-1.967315811,0.508767256,0.793497313,NRS_IA-10072,S,0,10,0,0,0,0,10,10,8,37.5,541521,-49.6,-7.15,7.63,Midwest
FW08IA038,1,9/1/2015,2009,2009-10-13,IA,Maquoketa River,PROB,PLNLOW,UMW,NA,52,52b,7,42.13067914,-90.35649699,7060006,NonUrban,6th,Upper Mississippi Region,NA,NA,T,T,T,Most Disturbed,42.13067,90.35649,79.44671413,FW08IA038,YES,YES,4777.410156,61.58,0.99057152,14327,0.963306586,0.008,RS,5307.35,S,75.56,S,16.94,S,15,S,595.14,S,1.6,S,31.21,S,7.781,S,2.152,S,6.09736,S,NA,NA,0,RS,6325,HS,8.21,S,138.5613,S,14.717,HS,23.43,S,28.1,S,3.59,S,BOATABLE,120.1,46.13320634,85.31727273,111.422,33.39478679,89.75454545,1.990909091,3.3,1.079398933,0.022506092,2799,-0.289735634,NA,1,91,NA,1.128167691,0.643612857,-0.933348491,-1.417903325,0,100,27.80581748,NA,0.031818182,0,0.018181818,0.086363636,0.001427727,23.6631016,NA,0.078571429,0.398809524,0.095238095,0.126190476,0.385714286,0.338648616,0.273571429,0.546395494,1.204563636,0.136363636,0.287886364,0.916677273,BOATABLE,0.916677273,0.022506092,85.31727273,-0.402618271,-1.016086822,-1.417903325,2 Medi,Poor,-3.089074331,Medi,-0.432169727,Medi,-0.265794899,201.5211062,2.304320538,0.041920434,-1.377574227,8.726846379,0.940857331,0.001815359,-2.741037435,-0.321901412,0.543032117,NRS_IA-10073,T,1.983018384,0,0,0,9.807228916,10,10,10,8,52.24,541551,-50.43,-7.87,12.49,Midwest
FW08IA040,1,9/1/2015,2009,2009-09-01,IA,Little Sioux River,PROB,PLNLOW,TPL,PL-NCULT,47,47a,7,42.90281153,-95.193094,10230003,NonUrban,6th,Lower Missouri Region,NA,NA,S,S,S,Intermediate Disturbance,42.902811,95.193094,328.6263035,FW08IA040,YES,YES,3992.129883,38.23,0.577626418,14328,0.634330437,0.014,R,2995.69,NA,51.45,NA,30.46,NA,18,NA,609.96,NA,3.73,H,33.28,NA,24.94,NA,3.293,NA,0,R,NA,NA,0,R,1488,NA,8.15,NA,215.3375,NA,7.694,H,116.49,NA,76,NA,41.71,NA,WADEABLE,136.69,55.82217347,36.415,47.78185,NA,40.7,0.945454545,1.772727273,2.470611,NA,1504.8,-1.91360881,100,89.52380952,99.04761905,99.04761905,NA,NA,NA,NA,0,100,NA,0,0,0,0.009090909,0.031818182,0.003515156,50.80213904,1.069518717,0.178409091,0.584090909,0.020454545,0.377272727,0.488636364,0.541722951,0.319886364,0.108112929,0.121218182,0,0.030304545,0.090913636,WADEABLE,0.090913636,NA,36.415,-0.302216053,-1.378634852,NA,1 Low,XXXX,NA,Good,-0.177574711,Poor,-0.563875501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NRS_IA-10075,S,0,8.78706118,0.446217494,2.690405539,0,10,0,10,8,39.9,554491,-47.89,-6.26,2.21,Midwest
FW08IA041,1,9/1/2015,2008,2008-08-26,IA,Unnamed Creek,PROB,PLNLOW,TPL,PL-NCULT,47,47c,7,42.19419472,-91.39223307,7080102,NonUrban,1st,Upper Mississippi Region,NA,NA,S,S,T,Intermediate Disturbance,42.19419,91.39229,3282.753034,FW08IA041,YES,NA,1.129500031,1.05,0.327894964,11246,0.437970189,0.036,NA,3857.87,NA,61.63,NA,17.27,NA,3,R,477.75,NA,1.28,NA,20.17,NA,6.445,NA,0.682,NA,5.08513,H,NA,NA,0.00583,R,5856,H,8.25,NA,133.8256,NA,19.191,NA,17.35,NA,54.8,NA,34.99,NA,WADEABLE,8.2,3.553993878,0.74,0.0669,3.342124058,1.063636364,0.336363636,0.827272727,1.024119229,0.380069402,149,-1.917775768,97.45454545,90.47619048,98.0952381,99.04761905,0.709936201,1.000122653,-2.917898421,-2.627711969,0.666666667,99.33333333,0.407576105,0,0,0,0,0.920454545,3.65973e-4,97.86096257,84.09090909,0,0.047727273,0.009090909,0,0.018181818,0.366280152,0.108181818,0.53684308,1.159095455,0,0.159095455,1,WADEABLE,1,0.668571429,0.74,-1.550030994,-0.031304838,-2.922570581,2 Medi,Poor,-1.794960575,Poor,-1.504223798,Good,0.485073614,0.163601778,-0.786211982,0.148634303,-0.827880948,6.60341e-4,-3.18023208,5.99928e-4,-3.221901046,-0.067609667,-0.594759109,NRS_IA-10076,T,0,10,6.869535067,0,0,0,10,10,8,46.09,527841,-49.52,-7.58,11.12,Midwest
FW08IA042,1,9/1/2015,2008,2008-10-01,IA,Volga River,PROB,PLNLOW,UMW,NA,52,52b,7,42.80455827,-91.53054161,7060004,NonUrban,5th,Upper Mississippi Region,NA,NA,S,S,S,Intermediate Disturbance,42.80455,91.53057,65.39355534,FW08IA042,YES,YES,700.4290161,47.03,1.316345793,11247,1.291635387,0.014,R,5011.51,NA,66.91,NA,12.43,NA,9,NA,552.56,NA,1.42,NA,27.65,NA,5.342,NA,2.084,NA,2.92212,NA,NA,NA,0,R,3713,H,8.3,NA,21.0144,NA,10.35,NA,21.19,NA,0.6,NA,3.49,NA,WADEABLE,77.57,32.72235667,34.705,25.2432,28.65213311,41.1,0.881818182,1.790909091,1.680803579,0.061930226,1346.4,-0.223054225,82.63636364,45.71428571,63.80952381,67.61904762,1.025444598,0.763819301,-0.986873525,-1.248498822,9,91,0.369371318,8.571428571,0.113636364,0,0,0.125,0.001277951,47.59358289,3.07486631,0.180681818,0.601136364,0.027272727,0.322727273,0.5625,0.560311435,0.353125,0.057145551,0.060609091,0,0.060609091,0,WADEABLE,0,0.11000817,34.705,-0.242224509,-0.869666232,-1.506623691,1 Low,Medi,-0.780797347,Poor,-0.335068602,Medi,-0.333378038,30.07322708,1.478180034,0.043002046,-1.366510882,2.305018472,0.36267441,0.003295972,-2.482016505,-0.108842974,0.335668978,NRS_IA-10077,S,5.52644624,0,10,0,10,10,10,10,8,69.41,533921,-51.67,-7.84,11.07,Midwest
FW08IA043,1,9/1/2015,2008,2008-09-02,IA,Beaver Creek,PROB,PLNLOW,TPL,PL-NCULT,47,47f,7,41.587557,-94.39743921,7100007,NonUrban,3rd,Upper Mississippi Region,NA,NA,S,S,T,Intermediate Disturbance,41.58755,94.39722,1773.605528,FW08IA043,YES,NA,73.77230072,21.2,0.658054074,11248,0.726086887,0.036,NA,4215.58,NA,73.91,NA,5.36,NA,13,NA,531.14,NA,2.15,NA,18.87,NA,12.92,NA,2.94,NA,0.73014,NA,NA,NA,0,R,549,H,8.28,NA,21.9563,NA,13.205,NA,60.26,NA,15.2,NA,13.47,NA,WADEABLE,16.22,4.781234362,8.22,1.3811,4.151844962,12.99090909,1.036363636,2.872727273,1.021698032,0.063025409,198,-0.289716253,89.81818182,15.23809524,83.80952381,90.47619048,1.196408922,0.697214904,-0.986931158,-1.486125175,0,100,0.255970713,0,0,0,0.004545455,0.022727273,0.001784465,77.54010695,51.20320856,0.022727273,0.525,0.15,0.084090909,0.288636364,0.482152091,0.229886364,0.388900771,0.636395455,0,0.030304545,0.606090909,WADEABLE,0.606090909,0.111388889,8.22,-0.524857311,-1.485090181,-1.755864178,2 Medi,Medi,-0.87522799,Medi,-0.427233073,Poor,-0.808596618,17.76716904,1.249618234,0.242153218,-0.615909756,0.020232154,-1.693957873,2.75749e-4,-3.559485863,-0.633176862,0.414785634,NRS_IA-10078,S,10,9.69946754,10,10,9.245098039,10,10,10,8,98.68,530131,-44.44,-6.73,9.4,Midwest
FW08IA044,1,9/1/2015,2009,2009-08-06,IA,South Skunk River,PROB,PLNLOW,TPL,PL-NCULT,47,47f,7,41.48554921,-92.90182008,7080105,NonUrban,6th,Upper Mississippi Region,NA,NA,S,S,T,Intermediate Disturbance,41.485549,92.90182,328.6263035,FW08IA044,YES,YES,3734.280029,43.07,0.733772363,14329,0.57903776,0.017,RS,4810.19,S,80.5,S,24.43,S,5,HS,630.7,S,2.47,HS,28.49,S,13.45,S,2.15,S,2.18113,S,NA,NA,0,RS,675,S,8.46,HS,188.145,S,15.352,S,52.27,S,16,S,3.84,HS,BOATABLE,81.56862745,33.94069079,48.24545455,41.342,24.99963684,55.07272727,0.945454545,2.009090909,1.06060153,0.025282017,1988.764304,-0.476590897,NA,0.980392157,100,NA,0.612947298,0.391511519,-0.868102416,-1.089538194,0,100,30.64859325,NA,0.018181818,0,0.134090909,0.297727273,0.044392727,61.63101604,NA,0.279545455,0.430681818,0.079545455,0.471590909,0.765909091,0.5819223,0.444659091,0.323076923,0.477272727,0.340909091,0.477272727,0,BOATABLE,0,0.025282017,48.24545455,-0.11018916,-0.511834012,-1.089538194,2 Medi,Medi,-1.374530649,Good,-0.02769916,Good,-0.123521883,24.39646811,1.387326958,0.006549671,-2.183780548,1.877373323,0.273550642,5.04015e-4,-3.297556864,-0.584445302,-0.407235236,NRS_IA-10079,S,0,9.829115891,2.589046493,10,10,10,10,10,8,78.02,541891,-134.65,-17.69,6.88,Midwest
FW08IA046,1,9/1/2015,2009,2009-07-21,IA,Turkey River,PROB,PLNLOW,UMW,NA,52,52b,7,43.04696768,-91.79068538,7060004,NonUrban,5th,Upper Mississippi Region,NA,NA,T,T,T,Most Disturbed,43.04696,91.79068,65.39355534,FW08IA046,YES,YES,1665.890015,35.4,0,14330,0,0.011,R,3360.97,NA,60.49,NA,19.13,NA,22,NA,486.91,NA,2.19,H,20.79,NA,6.171,NA,2.165,NA,5.98198,NA,NA,NA,0,R,5856,H,8.21,NA,21.7575,NA,2.412,H,25.47,NA,6.8,NA,2.42,NA,WADEABLE,83.41,30.30887959,56.7,46.331,NA,61.20909091,0.518181818,1.209090909,2.137554,NA,1821.6,-0.229280993,88.36363636,18.0952381,70.47619048,82.85714286,NA,NA,NA,NA,2,98,NA,0,0.05,0,0.004545455,0.031818182,3.47924e-4,51.60427807,0,0.064772727,0.514772727,0.027272727,0.259090909,0.511363636,0.476733643,0.330113636,0.418503227,0.7197,0.272727273,0.613636364,0.106063636,WADEABLE,0.106063636,NA,56.7,-0.282859263,-1.378634852,NA,2 Medi,XXXX,NA,Medi,-0.233569263,Poor,-0.832568661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NRS_IA-10081,T,0.262373816,0,10,0,10,10,10,10,8,62.83,546711,-51.98,-7.97,11.79,Midwest
FW08IA047,1,9/1/2015,2009,2009-09-17,IA,Boyer River,PROB,PLNLOW,TPL,PL-NCULT,47,47d,7,41.46759547,-95.90930533,10230007,NonUrban,5th,Lower Missouri Region,NA,NA,T,T,T,Most Disturbed,41.46759,95.9093,270.4963018,FW08IA047,YES,YES,2809.959961,16.98,0.440844451,14331,0.551922211,0.014,RS,5948.55,S,89,S,21.91,S,7,HS,687.99,S,2.11,S,31.96,S,16.41,S,3.845,S,6.14795,S,NA,NA,0,RS,6466,S,8.48,HS,378.61130000000003,S,18.2,S,39.5,S,25.8,S,13.93,HS,BOATABLE,128.84,20.1056402,53.65454545,67.1917,4.796760641,55.93636364,0.509090909,1.745454545,1.028046482,0.045813919,2070.262485,-2.110924375,NA,100,100,NA,0.845365755,0.739371402,-2.850295777,-2.95629013,0,100,3.723036822,NA,0,0,0,0.031818182,4.75909e-4,15.50802139,NA,0.020454545,0.565909091,0.059090909,0.076136364,0.169318182,0.291910574,0.176193182,0.410716916,0.696977273,0.409090909,0.696977273,0,BOATABLE,0,0.045813919,53.65454545,-0.746375673,-1.378634852,-2.95629013,2 Medi,Poor,-3.280863952,Poor,-0.663885673,Poor,-0.957278703,105.8805358,2.02481613,0.037673803,-1.423960536,51.678372,1.713308824,0.018387901,-1.735467843,0.992935074,0.2990895,NRS_IA-10082,S,0,10,0,0,8.794117647,10,10,10,8,60.99,556591,-48.03,-6.88,7,Midwest
FW08IA048,1,9/1/2015,2008,2008-09-04,IA,Hay Branch,PROB,PLNLOW,TPL,PL-NCULT,47,47f,7,41.21823045,-93.86450662,7100008,NonUrban,2nd,Upper Mississippi Region,NA,NA,R,S,T,Least Disturbed,41.21823,93.86504,1926.275736,FW08IA048,YES,NA,18.3946991,28.92,1.020690579,11249,0.947404787,0.014,R,4654.16,NA,82.93,NA,12.2,NA,17,NA,554.26,NA,3.94,NA,14.5,NA,10.89,NA,4.431,NA,0.07088,NA,NA,NA,0,R,432,NA,8.21,NA,98.1875,NA,11.749,NA,38.65,NA,1.9,NA,6.18,NA,WADEABLE,9.24,2.697248879,3.145,0.263,2.615840542,7.472727273,0.581818182,1.990909091,1.165851445,0.12414194,148.5,-0.46772458,99.27272727,10.47619048,90.47619048,96.19047619,1.036919441,0.741154108,-1.208878688,-1.504644022,3,97,0.283099626,0,0.213636364,0,0,0.254545455,5.22664e-5,35.82887701,32.48663102,0.018181818,0.428409091,0.0875,0.029545455,0.201136364,0.318118398,0.190511364,0.6,1.5,0,0,1.5,WADEABLE,0,0.219259259,3.145,-0.675436962,-0.577499695,-1.809048529,3 High,Medi,-0.787183756,Poor,-0.59113252,Good,0.050014422,3.652815711,0.562627762,0.201914538,-0.694832411,0.002879276,-2.540716746,1.59156e-4,-3.798176919,-0.79585944,0.069954923,NRS_IA-10083,S,2.81578626,10,9.677895981,10,10,0,10,10,8,78.12,523451,-42.42,-6.28,7.83,Midwest
FW08IA049,1,9/1/2015,2009,2009-07-30,IA,South Skunk River,PROB,PLNLOW,TPL,PL-NCULT,47,47f,7,41.31754055,-92.5282867,7080105,NonUrban,6th,Upper Mississippi Region,NA,NA,S,S,S,Intermediate Disturbance,41.31754,92.52828,328.6263035,FW08IA049,YES,YES,4385.810059,67.75,0.669973995,14333,0.676990527,0.015,R,4425.33,NA,69.37,NA,20.53,NA,15,NA,566.49,NA,2.33,NA,34.74,NA,10.81,NA,1.705,NA,2.94335,NA,NA,NA,0,R,3844,NA,8.37,NA,255.72,NA,17.105,NA,40.31,NA,116.4,NA,32.38,NA,BOATABLE,116.0490196,19.42050435,42.36363636,50.5382,12.30258349,45.63636364,0.8,2.090909091,1.008971258,0.020144075,1449.024901,-0.05277585,NA,0,76.47058824,NA,0.896449843,0.402479194,-0.455255045,-0.949225693,0,100,10.60119554,NA,0,0,0.009090909,0.036363636,0.003331364,22.45989305,NA,0.0175,0.875,0.04,0.095,0.2,0.381942754,0.19,0.029413192,0.030304545,0.030304545,0.030304545,0,BOATABLE,0,0.020144075,42.36363636,-0.677780705,-1.333822512,-0.949225693,1 Low,Medi,-1.211546821,Poor,-0.595290705,Poor,-0.94750066,48.64005941,1.686994097,0.011112665,-1.954181795,8.611344968,0.935070987,0.001967411,-2.706104904,-0.001751891,-0.146995578,NRS_IA-10084,S,0,10,0,0,0,10,10,10,8,50,541841,-45.2,-6.84,9.49,Midwest
FW08IA052,1,9/1/2015,2008,2008-09-22,IA,Prairie Creek,PROB,PLNLOW,TPL,PL-NCULT,47,47b,7,42.913511,-94.05752706,7100005,NonUrban,3rd,Upper Mississippi Region,NA,NA,S,S,T,Intermediate Disturbance,42.913511,94.057527,1773.605528,FW08IA052,YES,NA,242.9660034,2.08,0.410529304,11342,0.412437278,0.032,NA,4713.79,NA,112.4,NA,21.22,NA,11,NA,714.96,NA,2.74,NA,31,NA,6.744,NA,2.824,NA,0.04681,NA,NA,NA,0,R,543,H,8.3,NA,66.3363,H,25.493,NA,121.74,NA,18.4,NA,13.57,NA,WADEABLE,42.24,23.4706436,6.97,2.6683,24.30619428,10.16363636,0.409090909,0.7,1.166542029,0.010742959,237.6,-0.790161014,97.63636364,23.80952381,97.14285714,98.0952381,-0.582259087,-0.36349147,-0.426669543,-0.207901926,0,100,0.575430736,0,0.045454545,0.004545455,0,0.090909091,0,27.00534759,0,0,0.104545455,0,0,0,0.25887801,0.1,0.494256361,0.977286364,0.068181818,0.136363636,0.840922727,WADEABLE,0.333340909,0.018981481,6.97,-2,-0.996069706,-0.485396938,2 Medi,Good,-0.051234125,Poor,-1.899689656,Medi,-0.283595012,0.393835232,-0.404685435,0.001642518,-2.784489878,0.031771379,-1.497963938,1.32505e-4,-3.877768381,-1.015743936,-1.528901395,NRS_IA-10087,T,0,8.701872964,10,10,9.147058824,10,10,10,8,84.81,530011,-45.12,-6.41,6.19,Midwest
FW08IA053,1,9/1/2015,2009,2009-10-06,IA,Des Moines River,PROB,PLNLOW,TPL,NA,40,40a,7,40.73584503,-91.935953,7100009,NonUrban,7th,Upper Mississippi Region,NA,NA,S,S,S,Intermediate Disturbance,40.73584,91.93595,167.3488686,FW08IA053,YES,YES,36178.19922,49.2,1.060938421,14334,0.975187226,0.009,R,3215.25,NA,61.13,NA,29.45,NA,16,NA,557.6,NA,3.89,NA,21.2,NA,21.6,NA,4.399,NA,1.54111,NA,NA,NA,0,R,1873,NA,8.12,NA,201.1888,NA,8.262,H,85.64,NA,39.8,NA,12.94,NA,BOATABLE,105.9,32.44560327,173.2454545,158.843,14.7734387,187.8272727,2.918181818,4.954545455,1.119935951,0.020601555,4060,0.992363791,NA,0,49.49494949,NA,1.139704158,0.730677806,0.261685985,-0.147340368,5,95,13.95036705,NA,0,0,0.004545455,0.2,0.009011818,22.99465241,NA,0.127272727,0.506818182,0.090909091,0.195454545,0.448863636,0.334813862,0.301988636,0.595098483,1.469736364,0,1.121236364,0.3485,BOATABLE,0.151522727,0.020601555,173.2454545,-0.338316358,-0.677780705,-0.147340368,2 Medi,Good,-0.112329036,Medi,-0.255826358,Good,-0.212339879,706.517529,2.849122941,0.019453884,-1.710993674,22.55488442,1.353240606,6.21046e-4,-3.206876009,-0.617390586,0.498045322,NRS_IA-10088,S,0,9.287643364,1.561166273,0,9.764705882,10,10,10,8,63.27,541531,-40.42,-5.77,5.75,Midwest
FW08IA054,1,9/1/2015,2008,2008-09-15,IA,Elk Creek,PROB,PLNLOW,UMW,NA,52,52b,7,42.61752156,-91.28994821,7060004,NonUrban,4th,Upper Mississippi Region,NA,NA,T,T,T,Most Disturbed,42.61812,91.289948,467.9808886,FW08IA054,YES,NA,38.75719833,28.13,1.359383842,11250,1.336576255,0.045,NA,5972.92,NA,79.35,NA,10.46,H,12,NA,631.57,NA,2.05,NA,31.44,NA,5.523,NA,3.429,NA,4.03414,H,NA,NA,0,R,4550,H,8.3,NA,178.7263,H,17.235,NA,20.58,H,7,NA,7.8,NA,WADEABLE,57.97,43.27629229,8.215,4.83555,33.22961599,15.47272727,0.540909091,1.368181818,1.043371241,0.261421547,316.8,0.374744813,54.18181818,30.47619048,40,45.71428571,1.172646209,1.1486334,-0.773888587,-0.797901396,26,74,0.573220907,0,0.086363636,0.004545455,0,0.040909091,9.94541e-4,42.78074866,22.45989305,0.090909091,0.423863636,0.020454545,0.231818182,0.311363636,0.373940957,0.240113636,0.551020408,1.227272727,0,0,1.227272727,WADEABLE,0,0.456423611,8.215,-0.493003268,-1.293204657,-1.034367739,2 Medi,Good,0.119417748,Poor,-0.505627152,Poor,-0.758691086,6.06199038,0.782615243,0.156240892,-0.806205289,0.400962062,-0.396896717,0.01033434,-1.98571725,0.318508997,0.568317987,NRS_IA-10089,S,7.074240669,0.062991736,0,0,0,0,10,10,8,33.92,533331,-53.77,-8.34,12.92,Midwest
FW08IA055,1,9/1/2015,2008,2008-09-23,IA,South Elk Creek,PROB,PLNLOW,TPL,NA,40,40a,7,40.68790173,-93.96833011,10280102,NonUrban,2nd,Lower Missouri Region,NA,NA,R,R,R,Least Disturbed,40.68829,93.96841,1926.275736,FW08IA055,YES,NA,5.365859985,52.78,1.055763729,11251,1.079028065,0.005,R,4656.09,NA,83.66,NA,5.81,NA,17,NA,557.69,NA,3.85,NA,17.78,NA,9.835,NA,5.001,NA,0.05117,NA,NA,NA,0,R,292,H,8.2,NA,79.3175,H,16.839,NA,59.52,NA,0.6,NA,4.48,NA,WADEABLE,36.54666667,30.89288415,3.114,1.308,28.12129686,6.209090909,0.554545455,1.236363636,1.880554842,0.18716996,223.5,-0.454492703,93.09090909,14.28571429,86.66666667,88.57142857,0.956131266,0.905924397,-1.3604171,-1.410623969,8.666666667,91.33333333,0.769462701,0,0,0,0,0.159090909,0.005372075,63.90374332,56.68449198,0.182954545,0.709090909,0.018181818,0.353409091,0.614772727,0.633541464,0.376647727,0,0,0,0,0,WADEABLE,0,0.326825397,3.114,-0.204277937,-0.771879741,-1.674918888,1 Low,Medi,-0.541042907,Good,-0.112526697,Good,-0.196543449,1.235301002,0.091772794,0.231694238,-0.635084766,0.033502308,-1.474925273,0.006283725,-2.201782832,0.866859973,-0.102329955,NRS_IA-10090,S,10,9.711475021,10,10,10,10,10,10,8,99.64,533931,-41.6,-6.35,9.19,Midwest
