PUBLICATION_DATE,UID,SAMPLE_TYPE,SITETYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,INDEX_VISIT,METRIC_TAXA_ROOT,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,MMI_BENT,RICH_PT,TOLR_PT,OE_SCORE
4/23/2019,1002080,BERW,PROB,COS9-0934,6/11/2013,1,CO,38.06737,-105.0848,Western Mountains,Y,WSA,3.12,4.61,1.43,6.78,36.85,2.94,3.23,0.945336196
4/23/2019,1002081,BERW,PROB,CAR9-0902,5/29/2013,1,CA,34.35671,-119.0199,Xeric,Y,WSA,5.2,2.66,4.29,1.84,30.9,2.35,2.2,0.630797325
4/23/2019,1002082,BERW,PROB,TXS9-0936,6/13/2013,1,TX,32.77924,-96.55449,Southern Plains,Y,WSA,2.61,7.49,7.14,7.59,43.6,1.33,0,1.121429958
4/23/2019,1002083,BERW,PROB,MNS9-0934,6/12/2013,1,MN,44.40724,-93.61883,Upper Midwest,Y,WSA,6.52,0,0,1.45,13.28,0,0,0.485788783
4/23/2019,1002084,BERW,PROB,MNSS-1175,6/13/2013,1,MN,44.17742,-95.60563,Temperate Plains,Y,WSA,0,6.42,1.25,2.35,16.7,0,0,0.781778393
4/23/2019,1002085,BERW,PROB,COR9-0903,6/13/2013,1,CO,37.60462,-103.606,Southern Plains,Y,WSA,0.25,5.21,1.43,1.27,15.98,0,1.43,0.845234819
4/23/2019,1002086,BERW,PROB,COS9-0926,6/14/2013,1,CO,39.63866,-102.1137,Southern Plains,Y,WSA,6.94,5.31,2.86,2.95,39.32,2.67,2.86,0.944996151
4/23/2019,1002088,BERW,PROB,COS9-0929,6/16/2013,1,CO,39.54923,-105.1317,Western Mountains,Y,WSA,0,1.56,2.86,0.23,7.75,0,0,0.557819146
4/23/2019,1002089,BERW,PROB,VTRS-1007,6/17/2013,1,VT,44.43994,-72.71384,Northern Appalachians,Y,WSA,6.65,10,10,5.85,79.12,9.05,5.92,1.058963241
4/23/2019,1002090,BETB,PROB,MDRO-1018,6/17/2013,1,MD,39.43248,-77.37975,Southern Appalachians,Y,WSA,2.16,7.19,6.67,0.97,34.98,4,0,0.994825542
4/23/2019,1002091,BERW,HAND,MORF-0009,6/18/2013,1,MO,39.65361,-94.22593,Temperate Plains,Y,WSA,0.17,1.31,5,4.71,28.83,1,5.11,0.654192228
4/23/2019,1002092,BERW,PROB,GAS9-0922,6/18/2013,1,GA,34.36679,-85.08706,Southern Appalachians,Y,WSA,0,7.19,5.56,4.32,31.98,0.5,1.62,0.840819464
4/23/2019,1002093,BERW,PROB,NDR9-0907,6/18/2013,1,ND,46.79972,-101.1068,Northern Plains,Y,WSA,2.5,8.93,8,6.01,56.2,2.86,5.42,1.296363268
4/23/2019,1002094,BERW,PROB,OKR9-0901,6/18/2013,2,OK,35.92582,-99.51525,Southern Plains,N,WSA,0.99,3.27,1.43,2.42,13.52,0,0,0.130334782
4/23/2019,1002095,BETB,PROB,MNR9-0912,6/18/2013,1,MN,45.23426,-93.49636,Upper Midwest,Y,WSA,7.22,4.71,1.43,0,30.47,2.22,2.7,0.674747319
4/23/2019,1002096,BERW,HAND,MIRF-0004,6/18/2013,1,MI,44.60941,-84.45637,Upper Midwest,Y,WSA,6.95,7.23,2.86,5.9,56.08,6.67,4.04,0.890315273
4/23/2019,1002097,BETB,PROB,MDRO-1015,6/18/2013,1,MD,39.26903,-77.44567,Southern Appalachians,Y,WSA,2.09,6.19,6.67,2.08,39.78,3,3.84,0.842427894
4/23/2019,1002098,BERW,PROB,KYS9-0919,6/18/2013,1,KY,38.62014,-85.41854,Southern Appalachians,Y,WSA,1.42,5.25,0,0,15,0,2.33,0.466622719
4/23/2019,1002099,BERW,PROB,KSR9-0904,6/17/2013,1,KS,39.42728,-98.53949,Southern Plains,Y,WSA,1.33,4.12,2.86,2.42,37.4,6,5.71,0.869612215
4/23/2019,1002100,BERW,PROB,OKR9-0905,6/18/2013,1,OK,35.53,-99.13021,Southern Plains,Y,WSA,1.5,5.55,2.86,5.65,28.15,1.33,0,0.703455461
4/23/2019,1002101,BERW,HAND,MORF-0004,6/19/2013,1,MO,38.47137,-93.61713,Temperate Plains,Y,WSA,0.92,6.02,1.25,4.12,25.68,0,3.1,1.039977628
4/23/2019,1002102,BERW,PROB,OHS9-0919,6/18/2013,1,OH,40.37315,-81.21327,Southern Appalachians,Y,WSA,0,0,0,0,0,0,0,0.143295943
4/23/2019,1002103,BERW,PROB,ALSS-1063,6/19/2013,1,AL,33.35583,-86.60633,Southern Appalachians,Y,WSA,2.46,7.19,0,0,20.03,2,0.37,0.770644633
4/23/2019,1002104,BERW,HAND,MIRF-0003,6/19/2013,1,MI,44.59139,-85.07703,Upper Midwest,Y,WSA,5.19,3.55,1.43,7.77,47.33,5.56,4.9,0.9677504
4/23/2019,1002105,BERW,PROB,OHS9-0914,6/19/2013,1,OH,40.70663,-80.79918,Southern Appalachians,Y,WSA,0,5.04,2.22,3.16,19.6,0,1.34,0.678386607
4/23/2019,1002106,BERW,PROB,SDSS-1190,6/19/2013,1,SD,43.958,-99.04698,Northern Plains,Y,WSA,0.2,1.62,6,2.33,20,1.43,0.42,0.436446295
4/23/2019,1002107,BETB,PROB,NHR9-0903,6/19/2013,1,NH,43.86581,-72.17822,Northern Appalachians,Y,WSA,0.99,0.17,2.22,0,7.22,0.95,0,0.667831206
4/23/2019,1002108,BERW,PROB,CTSS-1077,6/19/2013,1,CT,42.01009,-72.63232,Northern Appalachians,Y,WSA,0,0.13,4.44,1.95,10.87,0,0,0.400696
4/23/2019,1002109,BERW,PROB,OHLS-1071,6/18/2013,1,OH,39.61589,-81.92661,Southern Appalachians,Y,WSA,0.75,0.94,0,0,2.82,0,0,0.112520589
4/23/2019,1002110,BERW,PROB,COS9-0924,6/18/2013,1,CO,39.0766,-106.0064,Western Mountains,Y,WSA,1.65,0.82,1.43,6.54,25.87,1.18,3.9,0.998519258
4/23/2019,1002111,BERW,PROB,GAS9-0919,6/19/2013,1,GA,34.30315,-84.47051,Southern Appalachians,Y,WSA,2.21,9.71,10,4.27,62.97,5.5,6.09,1.098154027
4/23/2019,1002112,BERW,PROB,NDSS-1106,6/20/2013,1,ND,47.18226,-101.7943,Northern Plains,Y,WSA,1.2,4.26,6,6.82,39.1,1.43,3.75,1.433829823
4/23/2019,1002113,BERW,HAND,UTRF-0004,6/20/2013,1,UT,40.49275,-112.5816,Xeric,Y,WSA,10,2.02,7.14,10,70.1,4.71,8.19,1.097050622
4/23/2019,1002114,BERW,PROB,OHSS-1125,6/20/2013,1,OH,39.57122,-84.66835,Temperate Plains,Y,WSA,2.68,8.01,3.75,2.94,36.37,1,3.44,0.886133425
4/23/2019,1002115,BETB,PROB,OHRO-1031,6/20/2013,1,OH,40.52083,-81.30616,Southern Appalachians,Y,WSA,0,3.88,1.11,0,8.32,0,0,0.587057334
4/23/2019,1002116,BETB,HAND,MIRF-0002,6/20/2013,1,MI,44.14272,-86.01193,Upper Midwest,Y,WSA,2.17,7.55,7.14,9.73,66.33,7.22,5.99,1.238664776
4/23/2019,1002117,BERW,HAND,MORF-0005,6/20/2013,1,MO,40.11646,-92.76208,Temperate Plains,Y,WSA,0.5,2.95,2.5,1.76,24.6,1,6.05,0.694175208
4/23/2019,1002118,BERW,PROB,MIS9-0923,6/19/2013,1,MI,42.5695,-84.5928,Upper Midwest,Y,WSA,4.41,2.58,0,3.46,20.1,0.56,1.05,1.109431044
4/23/2019,1002119,BERW,PROB,MISS-1136,6/20/2013,1,MI,42.82857,-85.6665,Upper Midwest,Y,WSA,2.73,3.74,1.43,4.8,22.92,0,1.05,1.119381186
4/23/2019,1002120,BERW,PROB,TXS9-0926,6/20/2013,2,TX,29.91047,-95.49178,Coastal Plains,N,WSA,3,5.38,0,0,19.47,0.62,2.68,0.637870198
4/23/2019,1002121,BETB,PROB,MDRO-1014,6/21/2013,1,MD,39.31389,-77.4119,Southern Appalachians,Y,WSA,0.54,3.31,7.78,0.77,22.95,1,0.37,0.837619642
4/23/2019,1002122,BERW,PROB,ALS9-0918,6/20/2013,1,AL,32.93231611,-86.36246869,Southern Appalachians,Y,WSA,1.07,8.63,1.11,3.05,32.52,2,3.65,0.740671585
4/23/2019,1002123,BERW,PROB,ALSS-1064,6/21/2013,1,AL,33.11467,-87.11905,Southern Appalachians,Y,WSA,0.75,6.4,2.22,3.87,28.65,1.5,2.45,0.936441757
4/23/2019,1002124,BERW,PROB,MNS9-0929,6/20/2013,1,MN,44.04151,-92.33874,Upper Midwest,Y,WSA,0,3.29,1.43,0.41,13.98,0,3.26,0.970358976
4/23/2019,1002125,BERW,PROB,NVS9-0921,6/18/2013,1,NV,40.7413,-115.5544,Xeric,Y,WSA,0,3.78,2.86,4.67,36.6,3.53,7.12,0.546810489
4/23/2019,1002126,BERW,PROB,NVR9-0920,6/20/2013,1,NV,41.88666,-114.6866,Xeric,Y,WSA,7.55,9.44,10,4.02,70.22,7.06,4.06,0.783825144
4/23/2019,1002127,BERW,PROB,OHS9-0922,6/19/2013,1,OH,39.97946,-82.38165,Northern Appalachians,Y,WSA,3.96,0.81,3.33,4.82,34.05,3.33,4.18,0.854716276
4/23/2019,1002128,BERW,PROB,WASS-1140,6/19/2013,1,WA,46.30527,-123.781,Western Mountains,Y,WSA,0,0,0,5.4,9,0,0,0.129028801
4/23/2019,1002129,BERW,PROB,COS9-0925,6/19/2013,1,CO,37.06135,-105.9829,Xeric,Y,WSA,9.28,3.69,4.29,2.77,54.15,5.88,6.58,0.534358796
4/23/2019,1002130,BETB,HAND,MIRF-0005,6/21/2013,1,MI,43.43006,-85.71988,Upper Midwest,Y,WSA,4.66,6.13,1.43,4.41,36,1.67,3.3,0.907467517
4/23/2019,1002131,BERW,PROB,WAS9-0919,6/20/2013,1,WA,46.83757,-123.3863,Western Mountains,Y,WSA,0,4.33,4.29,0,14.37,0,0,0.496590617
4/23/2019,1002132,BETB,PROB,OHR9-0907,6/23/2013,1,OH,41.02829,-83.21295,Temperate Plains,Y,WSA,10,1.93,0,0.59,42.53,3,10,0.196470684
4/23/2019,1002133,BETB,PROB,OHRO-1035,6/23/2013,1,OH,40.63326,-81.54266,Southern Appalachians,Y,WSA,1.98,0.79,2.22,5.42,19.02,1,0,0.842873468
4/23/2019,1002134,BERW,PROB,COS9-0922,6/20/2013,1,CO,37.71407,-106.8382,Western Mountains,Y,WSA,4.09,6.89,2.86,6.96,45.67,2.94,3.66,0.979916372
4/23/2019,1002135,BERW,PROB,OHS9-0915,6/20/2013,1,OH,39.74567,-81.84162,Southern Appalachians,Y,WSA,1.07,7.27,2.22,0.61,19.45,0.5,0,0.478432741
4/23/2019,1002136,BETB,PROB,OHRM-1001,6/24/2013,1,OH,41.2338,-84.59052,Temperate Plains,Y,WSA,1.66,7.22,8.75,4.12,44.53,3,1.97,0.969920014
4/23/2019,1002137,BETB,PROB,PAR9-0910,6/24/2013,1,PA,40.88572,-76.80151,Southern Appalachians,Y,WSA,2.84,0.14,3.33,2.32,14.38,0,0,0.707658689
4/23/2019,1002138,BERW,PROB,NDS9-0938,6/24/2013,1,ND,46.41794,-103.5124,Northern Plains,Y,WSA,1.87,5.03,4,6.46,35.48,1.43,2.5,1.026261762
4/23/2019,1002139,BETB,PROB,KSRS-1269,6/24/2013,1,KS,38.70221,-96.98346,Temperate Plains,Y,WSA,4.4,5.74,3.75,1.76,26.08,0,0,1.128110937
4/23/2019,1002140,BERW,HAND,VTRF-0002,6/24/2013,1,VT,44.80659,-72.13678,Northern Appalachians,Y,WSA,8.21,5.09,4.44,7.88,69.05,10,5.81,0.890434794
4/23/2019,1002141,BERW,PROB,VTRS-1004,6/24/2013,1,VT,44.78541,-72.02854,Northern Appalachians,Y,WSA,6.87,9.68,7.78,1.83,69.8,8.1,7.62,0.858329829
4/23/2019,1002142,BERW,PROB,ARS9-0946,6/24/2013,1,AR,35.34665559,-91.32230048,Coastal Plains,Y,WSA,3.09,4.2,1.25,0,14.23,0,0,0.504109111
4/23/2019,1002143,BERW,PROB,ALS9-0916,6/24/2013,1,AL,33.26014982,-85.50357137,Southern Appalachians,Y,WSA,0,3.02,0,0.4,5.7,0,0,0.17996344
4/23/2019,1002144,BERW,PROB,OHRO-1036,6/24/2013,1,OH,41.24697,-81.55581,Northern Appalachians,Y,WSA,0.62,0.78,0,5.17,17.77,0,4.09,0.79887206
4/23/2019,1002146,BERW,PROB,DESS-1085,6/24/2013,1,DE,39.72867,-75.68322,Southern Appalachians,Y,WSA,0,6.62,3.33,2.08,21.72,1,0,0.520319155
4/23/2019,1002161,BERW,HAND,KSRF-0004,6/25/2013,1,KS,39.10731,-96.60725,Temperate Plains,Y,WSA,0.46,6.88,2.5,2.94,28.53,3,1.34,0.874949507
4/23/2019,1002162,BERW,PROB,MNSS-1169,6/25/2013,1,MN,48.10913,-96.11106,Temperate Plains,Y,WSA,0,8.07,3.75,1.18,23.78,0,1.27,0.598696507
4/23/2019,1002164,BERW,PROB,COS9-0920,6/24/2013,1,CO,38.55321,-107.519,Western Mountains,Y,WSA,3.12,4.43,2.86,3.33,33.18,2.94,3.23,0.889184808
4/23/2019,1002165,BERW,PROB,TXS9-0928,6/25/2013,2,TX,33.75841,-97.29398,Southern Plains,N,WSA,1.17,5.69,1.43,3.85,22.45,1.33,0,1.221389483
4/23/2019,1002166,BERW,PROB,OKR9-0913,6/25/2013,1,OK,35.81455,-98.70209,Southern Plains,Y,WSA,2.19,4.74,0,1.71,17.73,2,0,0.243152003
4/23/2019,1002167,BERW,PROB,MTS9-0934,6/25/2013,1,MT,48.14321,-112.1246,Northern Plains,Y,WSA,0,8.73,0,2.99,23,0,2.08,0.82861703
4/23/2019,1002168,BERW,PROB,UTRO-1035,6/25/2013,1,UT,37.81354,-112.0533,Western Mountains,Y,WSA,0.12,0,1.43,0,2.58,0,0,0.664436837
4/23/2019,1002169,BERW,PROB,NVSS-1104,6/25/2013,1,NV,41.95777,-115.8638,Xeric,Y,WSA,5.41,8.26,5.71,4.95,60.2,6.47,5.32,0.593132456
4/23/2019,1002170,BERW,PROB,KYS9-0924,6/25/2013,1,KY,38.60545,-83.95593,Southern Appalachians,Y,WSA,5.88,0,0,4.97,18.08,0,0,0.437333931
4/23/2019,1002171,BERW,PROB,KSRS-1336,6/25/2013,1,KS,39.10386,-96.49063,Temperate Plains,Y,WSA,5.36,5.57,2.5,4.12,35.92,4,0,1.163468796
4/23/2019,1002172,BETB,PROB,ARRM-1004,6/25/2013,1,AR,35.0758,-92.63969,Southern Appalachians,Y,WSA,1.36,5.04,3.33,3.65,22.3,0,0,0.521906988
4/23/2019,1002173,BERW,PROB,NDR9-0910,6/25/2013,1,ND,45.95829,-103.1202,Northern Plains,Y,WSA,1.67,7.97,6,4.24,39.68,1.43,2.5,0.990840193
4/23/2019,1002174,BETB,HAND,WIRF-0008,6/25/2013,1,WI,45.88327,-90.68103,Upper Midwest,Y,WSA,5.74,9.16,4.29,3.75,60.75,7.78,5.73,1.143957928
4/23/2019,1002175,BERW,PROB,OKS9-0939,6/25/2013,1,OK,34.34592,-96.69948,Southern Plains,Y,WSA,10,5.59,2.86,7.17,58.58,6.67,2.86,0.710599704
