SITE_ID,VISIT_NO,YEAR,ECOWSA9_2015,COMID,UID,REALM,prk3RRT_NRSA1314,SITE,CONPATTERN,W1_HAG,W1_HALL,W1_HNOAG,W1H_CROP,DATE_COL,STATE,VALXSITE,LAT_DD83,LON_DD83,GREAT_RIVER,XSLOPE_use,XWIDTH_use,Lpt01_XCMGW,Lpt01_XFC_NAT,LRBS_use,RDIST_COND,LRBS_Cond_use,LOE_RBS_use,LXCMGW_Cond_use,LOE_XCMGW_use,LXFC_NAT_Cond_use,LOE_XFC_NAT_use,Qbkf_cl,LQbkf_cl,Qbkf_kmcl,LQbkf_kmcl,QLow_cl,LQLow_cl,QLow_kmcl,LQLow_kmcl,LOE_QLow_cl,LOE_Qbkf_cl
ALR9-0905,1,2014,CPL,2188031,139010,BOATABLE,S,139010,SINGLE,0,0.643963636,0.643963636,0,5/20/2014,AL,BOATABLE,31.34380861,-85.60881312,,0.056741932,34.36363636,0.056298355,-1.059121453,-0.386089029,2 Medi,Good,0.537960971,Good,-0.021310442,Poor,-0.488641453,76.66638722,1.884604998,0.043104083,-1.365481592,9.180376195,0.962860478,0.005161476,-2.287226112,0.513028685,0.323493537
ALR9-0906,1,2014,CPL,21639814,145495,BOATABLE,S,145495,SINGLE,0,0.166668182,0.166668182,0,7/13/2014,AL,BOATABLE,31.68739652,-88.05213311,,0.063785412,18.81818182,0.107749418,-0.808396576,-1.770177912,1 Low,Good,-0.846127912,Good,0.011302756,Medi,-0.237916576,33.43359576,1.524183087,0.071462533,-1.145921597,6.004466598,0.778474433,0.012834228,-1.891630251,0.876493548,0.374742782
ALRF-0001,1,2013,SAP,19618788,11004,WADEABLE,T,11004,SINGLE,0.560613636,1.212136364,0.651522727,0,7/25/2013,AL,WADEABLE,34.917856,-86.13294466,,0.071672078,16.68235294,-0.363785732,-0.673105801,-0.017105563,2 Medi,Good,-0.259762907,Poor,-0.405505242,Good,-0.03723578,8.025088074,0.904449807,0.076805758,-1.114606218,1.011739521,0.005068715,0.009683062,-2.01398731,0.331129752,-0.105562114
ALRF-0002,1,2013,SAP,21655990,12194,WADEABLE,S,12194,SINGLE,0,0.697004545,0.697004545,0,9/18/2013,AL,WADEABLE,33.22326014,-86.88807658,,0.874294671,2.306666667,-0.017214991,-0.749136614,0.806504984,2 Medi,Good,1.549825357,Good,0.053274728,Good,0.025521229,0.117109246,-0.931408816,0.117015633,-0.931756112,0.006366273,-2.196114719,0.006361184,-2.196462016,0.16803465,-0.679525911
ALRF-0003,1,2013,CPL,18671468,10548,WADEABLE,S,10548,SINGLE,0.378790909,1.106068182,0.727277273,0,7/1/2013,AL,WADEABLE,34.08128827,-88.02124812,,0.819886364,4.895,-0.046965543,-0.711994806,0.257720388,2 Medi,Good,2.205346731,Good,-0.08126428,Medi,-0.319814806,3.337050571,0.523362788,0.321720952,-0.492520655,0.052897048,-1.27656856,0.00509974,-2.292452004,0.384027939,0.54808872
ALRF-0004,1,2013,CPL,18519555,11178,WADEABLE,S,11178,SINGLE,0,1.136395455,1.136395455,0,8/4/2013,AL,WADEABLE,31.05288349,-87.8369997,,0.098863636,7.633333333,0.344392274,-0.570100974,-1.039380522,2 Medi,Good,0.29189894,Good,0.311383276,Good,-0.177920974,1.623953386,0.210573559,0.032397749,-1.489485159,0.119485683,-0.922684128,0.002383731,-2.622742846,0.091640407,-0.250328119
ALRM-1001,1,2013,CPL,21456608,11095,BOATABLE,S,11095,SINGLE,0,1.5,1.5,0,7/30/2013,AL,BOATABLE,32.22869139,-87.14827771,,0.005405405,203.4545455,-0.03664153,-0.435549146,-2.715360063,3 High,Medi,-1.791310063,Good,-0.017190063,Good,0.134930854,2359.581839,3.372835045,0.047722016,-1.321281219,1936.030827,3.286912268,0.039155791,-1.407203995,1.473050046,0.786751321
ALRM-1002,1,2013,CPL,21640704,11175,BOATABLE,S,11175,SINGLE,0.030304545,1.674254545,1.64395,0,8/2/2013,AL,BOATABLE,31.74166476,-88.09559977,,0.001680672,171.9090909,-0.50388841,-0.862415739,-2.073458021,3 High,Medi,-1.149408021,Poor,-0.479039827,Medi,-0.291935739,618.6238052,2.791426628,0.012918193,-1.888798228,409.9893046,2.612772527,0.008561457,-2.067452328,0.812032129,0.215203025
ALRM-1003,1,2013,SAP,21658294,10502,BOATABLE,S,10502,SINGLE,0,0.871218182,0.871218182,0,6/28/2013,AL,BOATABLE,33.01342364,-87.08607675,,0.063091483,48.81818182,-0.167200881,-0.555671259,0.726219459,2 Medi,Good,0.284839459,Medi,-0.194180881,Good,0.46582237,73.34187395,1.865352002,0.030515546,-1.515478861,15.91085239,1.201693447,0.00662007,-2.179137417,0.152906607,0.00409463
ALRO-1020,1,2014,CPL,2213454,143031,BOATABLE,S,143031,SINGLE,0,0.5682,0.5682,0,6/23/2014,AL,BOATABLE,31.41142286,-86.06452054,,0.024600246,33.18181818,0.150616908,-1.378634852,-1.47311894,2 Medi,Good,-0.54906894,Good,0.084730739,Poor,-0.808154852,77.28481047,1.888094146,0.031123569,-1.50691061,3.733117311,0.572071638,0.001503374,-2.822933119,-0.014649855,0.22411977
ALRO-1021,1,2013,SAP,18567421,11056,BOATABLE,T,11056,SINGLE,0,2.431854545,2.431854545,0,7/29/2013,AL,BOATABLE,33.58483107,-87.09572323,,0.007883265,67.45454545,0.103881433,-0.552137517,-2.815353007,3 High,Poor,-3.256733007,Good,0.076901433,Good,0.425666299,496.6618658,2.696060816,0.166494499,-0.77860011,350.0563352,2.544137942,0.117348358,-0.930522984,1.400620271,0.776150271
ALRO-1023,1,2014,CPL,2413424,149350,BOATABLE,R,149350,SINGLE,0,1.083345455,1.083345455,0,8/7/2014,AL,BOATABLE,31.07463524,-87.08873231,,0.038461538,24.09090909,-0.093346677,-0.958607315,-1.322713452,2 Medi,Good,-0.398663452,Medi,-0.163713127,Medi,-0.388127315,22.9827166,1.361401362,0.014215712,-1.847231381,1.037208313,0.015865989,0.000641554,-3.192766754,-0.3948085,-0.170286159
ALS9-0916,1,2013,SAP,22034461,10361,WADEABLE,T,10361,SINGLE,1.5,1.5,0,0,6/24/2013,AL,WADEABLE,33.26014982,-85.50357137,,0.58,1.882,-1.911058926,-0.941022138,-2.900092017,3 High,Poor,-2.414734595,Poor,-1.909863009,Medi,-0.22686397,0.298705599,-0.524756637,0.088458185,-1.053261976,0.002699424,-2.568728908,0.000799403,-3.097234247,-0.737807898,-0.603025325
ALS9-0916,2,2013,SAP,22034461,11027,WADEABLE,T,11027,SINGLE,1.5,1.5,0,0,7/26/2013,AL,WADEABLE,33.26014982,-85.50357137,,0.573333333,2.094117647,-1.911058926,-1.626419331,-3.019728399,3 High,Poor,-2.534370977,Poor,-1.909863009,Poor,-0.912261162,0.517524944,-0.286068713,0.153258986,-0.814574052,0.009649285,-2.015504873,0.002857523,-2.544010212,-0.184583863,-0.3643374
ALS9-0917,1,2014,SAP,19580273,138710,BOATABLE,S,138710,SINGLE,0,0.303031818,0.303031818,0,5/14/2014,AL,BOATABLE,34.69505836,-87.76208738,,0.06018889,23.18181818,0.126957455,-0.427550863,-1.650014147,1 Low,Poor,-2.091394147,Good,0.099977455,Good,0.465364975,37.03364667,1.568596479,0.218091938,-0.661360389,5.409178389,0.733131304,0.031854767,-1.496825564,0.84626685,0.426750441
ALS9-0917,2,2014,SAP,19580273,141931,BOATABLE,S,141931,SINGLE,0,0.356068182,0.356068182,0,6/15/2014,AL,BOATABLE,34.69505836,-87.76208738,,0.06018889,20.45454545,0.166712608,-0.616511048,-0.126822481,2 Medi,Medi,-0.568202481,Good,0.139732608,Good,0.27640479,21.05863045,1.323430123,0.124014725,-0.906526745,7.199036002,0.857274345,0.042395277,-1.372682523,0.970409891,0.181584085
ALS9-0918,1,2013,SAP,22274544,10319,WADEABLE,S,10319,SINGLE,0,0.181818182,0.181818182,0,6/20/2013,AL,WADEABLE,32.93231611,-86.36246869,,1.096666667,3.237894737,-0.130368316,-0.795880017,-1.026812469,1 Low,Medi,-0.679121897,Medi,-0.097314334,Good,-0.008482848,12.19369874,1.086135461,1.886985259,0.275768508,0.01316167,-1.880689003,0.00203678,-2.691055957,-0.33433548,0.831675078
ALS9-0919,1,2013,CPL,18208576,10471,WADEABLE,S,10471,SINGLE,1.242427273,1.787909091,0.545481818,0,6/27/2013,AL,WADEABLE,32.91383015,-87.5326477,,0.043333333,2.938,-0.323514237,-0.777756616,-0.400005559,3 High,Good,0.455128008,Poor,-0.354392771,Medi,-0.385576616,0.081746091,-1.087533004,0.017750438,-1.750790931,0.012675865,-1.8970224,0.002752452,-2.560280327,0.096664162,-0.812513481
ALS9-0920,1,2013,CPL,21455470,12228,WADEABLE,S,12228,SINGLE,0,1.704577273,1.704577273,0,9/20/2013,AL,INTWADE,32.12422057,-87.52831805,,0.843571429,1.195,0.01494035,-0.697000411,-2.939916167,3 High,Poor,-1.271279856,Good,-0.015907877,Medi,-0.304820411,0.537006913,-0.270020124,0.183761733,-0.735744922,0.003584296,-2.445596161,0.001226532,-2.911320959,-0.265319805,0.145208415
ALS9-0921,1,2013,CPL,2208972,12245,WADEABLE,S,12245,SINGLE,0,0.863677273,0.863677273,0,9/22/2013,AL,WADEABLE,31.86806513,-85.76601507,,0.1,3.885,0.015416916,-0.620612065,-0.933409382,2 Medi,Good,0.25998493,Good,-0.00309519,Medi,-0.228432065,0.326427447,-0.486213332,0.015369175,-1.813349442,0.024810375,-1.605366679,0.001168146,-2.932502789,-0.238779449,-0.682414543
ALS9-0922,1,2013,CPL,19567812,10512,WADEABLE,S,10512,SINGLE,0.33335,0.765168182,0.431818182,0,6/30/2013,AL,WADEABLE,34.50734375,-88.05036703,,1.525735294,12.27,0.185464885,-0.375342947,-1.59166236,2 Medi,Good,0.758253226,Good,0.150962316,Good,0.016837053,21.04500486,1.32314903,0.095632293,-1.019395433,3.398744497,0.531318517,0.015444507,-1.811225946,0.938751017,0.40621097
ALS9-0923,1,2013,SAP,22203587,11032,WADEABLE,S,11032,SINGLE,0,1.628818182,1.628818182,0,7/28/2013,AL,WADEABLE,33.79214422,-86.13073021,,0.28487395,1.295,-0.22366209,-0.663904301,-1.221115529,3 High,Good,-0.431746062,Medi,-0.177825553,Good,0.041135351,0.083531764,-1.078148348,0.103701755,-0.984213893,0.002851144,-2.544980824,0.003539596,-2.451046369,-0.085644598,-0.76732992
ALSS-1063,1,2013,SAP,22271200,10289,WADEABLE,S,10289,SINGLE,0,0.878827273,0.878827273,0,6/19/2013,AL,WADEABLE,33.35582999,-86.60632571,,0.096666667,2.27,-0.219551758,-0.706938935,-1.019878556,2 Medi,Medi,-0.620678332,Medi,-0.180144284,Good,0.057127638,0.482717083,-0.316307331,0.09523301,-1.021212487,0.010225398,-1.99031979,0.002017321,-2.695224945,-0.337492035,-0.504843544
ALSS-1064,1,2013,SAP,21657616,10320,WADEABLE,S,10320,SINGLE,0,1.287913636,1.287913636,0,6/21/2013,AL,WADEABLE,33.11466667,-87.11904805,,0.630319149,5.048,0.029014637,-0.727525465,-0.413520493,2 Medi,Good,-0.18844854,Good,0.070230776,Good,0.07144524,3.200613606,0.505233247,0.27785275,-0.556185301,0.044374924,-1.352862381,0.003852291,-2.41428093,-0.059970548,0.093840513
ALSS-1065,1,2013,SAP,18563041,10964,WADEABLE,S,10964,SINGLE,0.030304545,2.348527273,2.318222727,0,7/24/2013,AL,WADEABLE,34.0789901,-86.50564137,,1.490816327,1.39,-0.766081332,-0.159580222,-1.884422903,3 High,Medi,-1.039567062,Poor,-0.733676284,Good,0.505794089,0.372380901,-0.429012601,0.600517499,-0.221474333,0.024364349,-1.61324519,0.039291,-1.405706921,0.960785446,-0.047180429
ALSS-1066,1,2013,CPL,21456500,12230,WADEABLE,S,12230,SINGLE,0,0.401531818,0.401531818,0,9/19/2013,AL,WADEABLE,32.25358082,-87.00951398,,0.754545455,3.51,0.013507506,-0.446447948,-1.161758914,2 Medi,Good,0.688582515,Good,-0.013709092,Good,-0.054267948,1.80308961,0.256017311,0.382042887,-0.417887882,0.020105089,-1.696693996,0.004259914,-2.370599189,0.286935159,0.523479405
ARLS-1045,1,2013,CPL,15306551,10897,BOATABLE,T,10897,SINGLE,0,0.242436364,0.242436364,0,7/22/2013,AR,BOATABLE,34.78806237,-91.87004852,,0.019920319,13.87272727,0.10504545,-0.518622528,-1.014459659,1 Low,Good,-0.090409659,Good,0.020992869,Good,0.051857472,0.580884633,-0.235910113,0.002020275,-2.694589501,0.580884633,-0.235910113,0.002020275,-2.694589501,0.061821337,-1.235280742
ARLS-1046,1,2013,CPL,22701774,11405,WADEABLE,S,11405,BRAIDED,0.168115801,0.228724892,0.060609091,0.031747619,8/13/2013,AR,WADEABLE,33.99517345,-93.38717492,,0.101385063,15.33333333,-0.107020501,-0.941022138,-0.566924703,1 Low,Good,0.920499613,Medi,-0.178880725,Poor,-0.548842138,12.6032171,1.100481417,0.021124876,-1.675205835,0.4239417,-0.372693863,0.00071059,-3.148381116,-0.374408042,-0.123901395
ARLS-1047,1,2013,SAP,7765651,10683,WADEABLE,S,10683,SINGLE,0.356072727,0.462136364,0.106063636,0,6/26/2013,AR,WADEABLE,35.56232603,-93.28855046,,0.304715822,21.165,0.19217449,-0.771879741,0.529943603,2 Medi,Good,0.147290871,Good,0.150400241,Good,-0.160852815,11.29484348,1.052880217,0.055872112,-1.252804915,0.870439608,-0.060261355,0.004305797,-2.365946487,-0.023581065,-0.136303559
ARLS-1048,1,2013,SAP,11808920,11820,WADEABLE,T,11820,BRAIDED,0.575786364,0.606090909,0.030304545,0,8/28/2013,AR,WADEABLE,36.10229527,-91.61969816,,0.170155556,14.4625,0.211702901,-0.976934698,0.572888573,2 Medi,Good,-0.02426687,Good,0.179569796,Medi,-0.364802055,0.989393777,-0.004630826,0.001780358,-2.749492714,0.509922043,-0.292496214,0.000917576,-3.037358102,-0.699208776,-1.468343992
ARR9-0901,1,2013,CPL,7471678,11964,BOATABLE,S,11964,SINGLE,0.090913636,0.295459091,0.204545455,0.090913636,9/5/2013,AR,BOATABLE,35.62598093,-89.87932863,,0.009176227,971.8290909,-0.628932138,-1.485090181,-2.254405965,1 Low,Medi,-1.330355965,Poor,-0.490966167,Poor,-0.914610181,50761.77633,4.705536811,0.021940741,-1.65874871,46488.67047,4.667347126,0.020093778,-1.696938395,1.275843023,0.933966948
ARR9-0901,2,2013,CPL,7471678,12217,BOATABLE,S,12217,SINGLE,0.33335,0.537895455,0.204545455,0.303045455,9/19/2013,AR,BOATABLE,35.62598093,-89.87932863,,0.009176227,837.5454545,-1.293204657,-1.550030994,-2.201599787,2 Medi,Medi,-1.277549787,Poor,-1.155238687,Poor,-0.979550994,42769.43647,4.631133528,0.018486215,-1.733151993,30206.92694,4.480106545,0.013056327,-1.884178976,1.088602442,0.859563665
ARR9-0902,1,2013,CPL,14865395,12141,BOATABLE,S,12141,SINGLE,0,0,0,0,9/16/2013,AR,BOATABLE,34.35270394,-91.10541947,,0.004153268,153.1818182,0.064457989,-1.256062854,-2.390020533,1 Low,Medi,-1.465970533,Good,0.11945555,Poor,-0.685582854,557.7249554,2.746420078,0.007840828,-2.105638076,460.4441309,2.663176942,0.006473197,-2.188881212,0.70012281,0.0482292
ARR9-0902,2,2013,CPL,14865395,12536,BOATABLE,S,12536,SINGLE,0,0.045454545,0.045454545,0,9/30/2013,AR,BOATABLE,34.35270394,-91.10541947,,0.004153268,135.7272727,0.138230908,-0.976934698,-1.177878669,1 Low,Good,-0.253828669,Good,0.193228469,Poor,-0.406454698,606.0584428,2.782514506,0.008520329,-2.069543648,222.3638933,2.347064269,0.003126123,-2.504993884,0.384010138,0.084323628
ARR9-0903,1,2013,CPL,3682162,12195,BOATABLE,S,12195,SINGLE,0.6667,0.6667,0,0.6667,9/18/2013,AR,BOATABLE,34.69500093,-90.64588479,,0.009377441,105.9090909,-0.262518213,-1.626419331,-0.758459652,2 Medi,Good,0.165590348,Poor,-0.241537045,Poor,-1.055939331,55.6480588,1.745450019,0.002559882,-2.591779988,23.76076581,1.375860434,0.001093026,-2.961369573,-0.100887031,-0.58731584
ARR9-0904,1,2013,SAP,7751684,10637,WADEABLE,R,10637,ANASTOM,0.060609091,0.590936364,0.530327273,0,7/9/2013,AR,WADEABLE,35.67817479,-93.74408949,,0.1589,29.12,0.264710524,-1.550030994,0.596655824,2 Medi,Good,0.00690431,Good,0.175355086,Poor,-0.982961443,24.3260879,1.386072272,0.045328289,-1.343630677,2.765928577,0.441840961,0.005153924,-2.287861988,0.050432864,-0.068165042
ARR9-0905,1,2013,CPL,21821222,10998,BOATABLE,R,10998,SINGLE,0,0.33335,0.33335,0,7/25/2013,AR,BOATABLE,33.55630442,-92.02261247,,0.009197345,37.65454545,0.02390687,-0.892173573,1.531460655,2 Medi,Good,2.455510655,Good,0.02177819,Medi,-0.321693573,6.893603693,0.838446313,0.001085376,-2.964419638,1.166366926,0.066835196,0.000183641,-3.736030754,-0.90515198,-1.115027939
ARR9-0906,1,2013,SAP,7830270,10686,BOATABLE,R,10686,SINGLE,0.030304545,0.030304545,0,0,7/10/2013,AR,BOATABLE,34.92887775,-93.36068491,,0.02032,65.57272727,0.231261012,-0.912670402,1.52611234,1 Low,Good,1.08473234,Good,0.204281012,Good,-0.037632395,133.5261699,2.125566392,0.090530961,-1.043202868,133.5261699,2.125566392,0.090530961,-1.043202868,1.290876947,0.396868728
ARR9-0907,1,2013,CPL,22864775,12387,BOATABLE,S,12387,SINGLE,0.6667,0.6667,0,0.6667,9/26/2013,AR,BOATABLE,34.8014198,-90.77003066,,0.009448819,33.27272727,-0.090906128,-0.562826189,-2.121612092,2 Medi,Medi,-1.197562092,Medi,-0.12640718,Good,0.007653811,23.33780719,1.368060048,0.009608207,-2.017357669,8.299294298,0.919041165,0.003416831,-2.466376551,0.34137559,-0.289109448
ARR9-0908,1,2013,CPL,3747896,11385,BOATABLE,S,11385,SINGLE,0.742454545,1.037913636,0.295459091,0.030304545,8/12/2013,AR,BOATABLE,33.61703373,-93.86000774,,0,89.09090909,0.080741243,-1.132907664,2.280445583,2 Medi,Good,3.204495583,Good,0.105008455,Poor,-0.562427664,0,,0,,0,,0,,,
ARR9-0909,1,2013,CPL,3672208,11763,BOATABLE,T,11763,SINGLE,0.575786364,2.367680952,1.791894589,0.515177273,8/27/2013,AR,BOATABLE,35.53264371,-90.44201227,,0.01580421,46.55555556,0.179303657,-0.692115158,-1.059195728,3 High,Good,-0.135145728,Good,0.186094582,Good,-0.121635158,20.78386186,1.317726247,0.001562899,-2.806069177,20.78386186,1.317726247,0.001562899,-2.806069177,0.04258909,-0.863543745
ARRM-1001,1,2013,CPL,7471684,11967,BOATABLE,S,11967,SINGLE,0,0.537881818,0.537881818,0,9/5/2013,AR,BOATABLE,35.60183839,-89.90212085,,0.007994896,799.3636364,-1.293204657,-1.428608832,-2.022375243,2 Medi,Medi,-1.098325243,Poor,-1.155010037,Poor,-0.858128832,29040.49111,4.463003957,0.012514443,-1.902588487,20080.40841,4.302772542,0.008653267,-2.062819902,0.910033919,0.69050644
ARRM-1002,1,2013,CPL,18057726,12192,BOATABLE,S,12192,SINGLE,0.545481818,1.4773,0.931818182,0.545481818,9/17/2013,AR,BOATABLE,33.32930924,-91.16314402,,0.004856137,1199,-2,-1.22184875,-1.488534855,2 Medi,Good,-0.564484855,Poor,-1.848369938,Poor,-0.65136875,16263.16997,4.211205201,0.005757918,-2.239734565,5291.865962,3.723608835,0.001873566,-2.72733093,0.250251133,0.378128155
ARRM-1003,1,2013,CPL,3747886,11878,BOATABLE,S,11878,SINGLE,0.33335,0.469713636,0.136363636,0,8/15/2013,AR,BOATABLE,33.63585026,-93.90637933,,0.011221707,74.63636364,-0.03933467,-0.907853776,-0.00914076,2 Medi,Good,0.91490924,Good,-0.014992901,Medi,-0.337373776,239.8949302,2.38002107,0.022046861,-1.656653236,31.4869205,1.498130188,0.002893716,-2.538544119,0.305287638,0.260589647
ARRM-1004,1,2013,SAP,7789108,10420,BOATABLE,T,10420,SINGLE,0.250004545,0.704559091,0.454554545,0,6/25/2013,AR,BOATABLE,35.07579703,-92.6396901,,0.017976882,427.1818182,0.142517449,-0.892173573,-1.438110667,2 Medi,Poor,-1.879490667,Good,0.115537449,Good,-0.028369014,,,,,4368.104642,3.640293034,0.011216493,-1.950142912,0.360688903,
ARRM-1005,1,2013,CPL,7474830,11966,BOATABLE,S,11966,SINGLE,0.090913636,2.295513636,2.2046,0.090913636,9/4/2013,AR,BOATABLE,35.12046784,-90.09056726,,0.010842224,749.1818182,-0.316298164,-1.550030994,-2.070574063,3 High,Medi,-1.146524063,Medi,-0.176810989,Poor,-0.979550994,25274.45596,4.402681816,0.010869661,-1.963784004,13806.95936,4.140098047,0.005937891,-2.226367774,0.746534433,0.629564377
ARRO-1021,1,2013,SAP,7765979,10491,WADEABLE,R,10491,SINGLE,0,0,0,0,6/27/2013,AR,WADEABLE,35.54235426,-93.16001748,,0.324822222,29.42,0.220702279,-0.795880017,0.150009826,1 Low,Medi,-0.499104547,Good,0.174711198,Good,-0.161258754,152.9177254,2.18445783,0.215384419,-0.666785716,1.307266985,0.116364293,0.001841284,-2.734879253,-0.397751191,0.654245489
ARRO-1022,1,2013,SAP,11774983,11859,BOATABLE,T,11859,SINGLE,0.181827273,0.931854545,0.750027273,0,8/20/2013,AR,BOATABLE,35.51034183,-91.92886981,,0.027087792,55.54545455,0.092864131,-1.106894235,1.421681059,2 Medi,Good,0.980301059,Good,0.065884131,Medi,-0.276314971,17.26748003,1.237228962,0.0056587,-2.247283316,3.597335663,0.555980963,0.001178878,-2.928531315,-0.597482633,-0.688839663
ARRO-1023,1,2013,CPL,19933559,12395,WADEABLE,R,12395,ANASTOM,0,0,0,0,9/25/2013,AR,WADEABLE,33.19634208,-93.39312989,,0.059444444,8.71,0.190586342,-0.633152719,-0.681514001,1 Low,Good,0.507099039,Good,0.118684433,Medi,-0.240972719,0.799855459,-0.096988487,0.001352149,-2.868975467,0.22958328,-0.639059743,0.000388109,-3.411046723,-0.637278645,-1.318744845
ARRO-1024,1,2013,CPL,15314419,10924,BOATABLE,S,10924,SINGLE,0.33335,0.33335,0,0.33335,7/24/2013,AR,BOATABLE,34.37758587,-91.62510612,,0.007828156,22.60909091,0.135349528,-0.941022138,-2.399465134,2 Medi,Medi,-1.475415134,Good,0.097972244,Medi,-0.370542138,61.30827774,1.787519116,0.033630226,-1.473270221,3.926177416,0.593969921,0.002153677,-2.666819416,0.134028313,0.218810845
