nrsa_survey,UID,UNIQUE_ID,SITE_ID,VISIT_NO,YEAR,LAT_DD83,LON_DD83,COMID,GrazingPotentialCat,GrazingPotentialWs
nrsa0809,11944,NRS_CA-10352,FW08CA016,1,2008,37.32878,-121.6749,2810225,0.765650949,4.91758115
nrsa0809,10958,NRS_CA-10806,FW08CA044,1,2008,41.48963,-120.6046,948020862,14.52195487,7.006944976
nrsa0809,11079,NRS_CO-10133,FW08CO001,1,2008,37.36588,-108.5933,3262587,7.111700511,6.050407462
nrsa0809,11081,NRS_CO-10075,FW08CO003,1,2008,39.73088,-108.6747,5312628,0.945746415,0.725248229
nrsa0809,11083,NRS_CO-10118,FW08CO006,1,2008,39.64303,-107.711,3175206,2.439311428,1.139875538
nrsa0809,11084,NRS_CO-10042,FW08CO010,1,2008,39.34428,-104.9728,191839,2.87361185,2.268064316
nrsa0809,11085,NRS_CO-10140,FW08CO012,1,2008,39.24138,-104.958,192089,3.134190565,1.876160685
nrsa0809,11086,NRS_CO-10171,FW08CO013,1,2008,37.7972,-103.3775,934818,10.84843286,4.031306538
nrsa0809,11087,NRS_CO-10018,FW08CO014,1,2008,39.89247,-105.0565,228553,0.996220411,1.595906015
nrsa0809,11088,NRS_CO-10113,FW08CO017,1,2008,40.97147,-107.0196,18278757,0.387532965,1.396777149
nrsa0809,11089,NRS_CO-10104,FW08CO019,1,2008,39.38896,-104.8672,191819,1.549577796,2.28319742
nrsa0809,11090,NRS_CO-10069,FW08CO020,1,2008,38.06506,-102.3364,1595563,8.450547047,10.07718851
nrsa0809,11798,NRS_CT-10069,FW08CT009,1,2008,41.63415,-72.74884,7700796,0.889597413,1.463326841
nrsa0809,11799,NRS_CT-10080,FW08CT020,1,2008,41.57493,-73.41535,7714150,2.074775838,3.726538367
nrsa0809,9920,NRS_DE-10005,FW08DE001,1,2008,39.35884,-75.67549,4653422,0.584482574,1.476056225
nrsa0809,9922,NRS_DE-10012,FW08DE008,1,2008,38.82969,-75.64628,8391198,8.374059588,8.374059588
nrsa0809,10842,NRS_DE-10017,FW08DE013,1,2008,39.73029,-75.598,4651294,0.409514305,1.545522561
nrsa0809,11318,NRS_DE-10018,FW08DE014,1,2008,38.66814,-75.56031,8392388,3.771902304,4.948048544
nrsa0809,9923,NRS_DE-10019,FW08DE015,1,2008,38.82241,-75.4304,8077662,5.972187966,5.972187966
nrsa0809,9924,NRS_DE-10025,FW08DE021,1,2008,39.70279,-75.69404,4651360,0.9825645,1.446731272
nrsa0809,11320,NRS_FL-10039,FW08FL013,1,2008,30.84547,-86.46667,896637,4.13077088,3.914477396
nrsa0809,11321,NRS_FL-10042,FW08FL016,1,2008,30.67015,-87.2665,448560,4.658697314,7.534686934
nrsa0809,11322,NRS_FL-10043,FW08FL017,1,2008,30.72718,-85.82575,2242133,0,13.6536916
nrsa0809,12596,NRS_FL-10051,FW08FL025,1,2008,30.93494,-85.85019,2242019,47.85335611,12.6800209
nrsa0809,11325,NRS_FL-10055,FW08FL029,1,2008,30.58551,-85.8938,2248075,6.251750444,13.2996774
nrsa0809,11326,NRS_GA-10034,FW08GA001,1,2008,34.24605,-84.68609,6497212,4.357830895,2.185419801
nrsa0809,11327,NRS_GA-10023,FW08GA003,1,2008,34.52675,-84.09112,6494660,5.126551501,7.365091147
nrsa0809,11228,NRS_IA-10010,FW08IA002,1,2008,42.97979,-91.67294,13311083,14.05128562,13.10106665
nrsa0809,11230,NRS_IA-10016,FW08IA004,1,2008,40.8288,-95.20485,3701598,10.41296901,13.87167828
nrsa0809,11232,NRS_IA-10022,FW08IA005,1,2008,42.99357,-95.07848,14621764,8.746938243,4.859595351
nrsa0809,11233,NRS_IA-10008,FW08IA008,1,2008,42.70252,-91.92311,6947598,65.7910544,29.61301316
nrsa0809,11234,NRS_IA-10049,FW08IA009,1,2008,42.76793,-92.3559,7017203,30.34681946,16.16884079
nrsa0809,11235,NRS_IA-10033,FW08IA011,1,2008,40.67347,-95.31218,3701696,10.45751893,13.64371332
nrsa0809,11236,NRS_IA-10052,FW08IA013,1,2008,43.13852,-91.60843,13210986,52.95588669,30.90281538
nrsa0809,11237,NRS_IA-10050,FW08IA014,1,2008,42.21852,-92.74239,22475927,10.13648589,9.919298784
nrsa0809,11238,NRS_IA-10025,FW08IA016,1,2008,40.87134,-94.9103,2500595,19.36388571,20.34689052
nrsa0809,11239,NRS_IA-10053,FW08IA017,1,2008,42.5608,-90.94029,13325132,74.31366079,40.10616451
nrsa0809,11246,NRS_IA-10076,FW08IA041,1,2008,42.19419,-91.39223,6950508,20.50502781,20.50502781
nrsa0809,11247,NRS_IA-10077,FW08IA042,1,2008,42.80456,-91.53054,13312105,74.60353393,21.80662962
nrsa0809,11249,NRS_IA-10083,FW08IA048,1,2008,41.21823,-93.86451,22252143,11.90134843,23.9067126
nrsa0809,11342,NRS_IA-10087,FW08IA052,1,2008,42.91351,-94.05753,6603368,9.081616974,7.990391376
nrsa0809,11251,NRS_IA-10090,FW08IA055,1,2008,40.6879,-93.96833,5137309,23.85401487,22.58406483
nrsa0809,12820,NRS_ID-10079,FW08ID003,1,2008,46.86032,-116.039,23630682,0.434173439,0.735665898
nrsa0809,12830,NRS_ID-10061,FW08ID004,1,2008,45.07921,-116.0948,24177529,0.733264578,1.227481206
nrsa0809,12832,NRS_ID-10089,FW08ID005,1,2008,42.9098,-112.3271,23156470,12.19530691,12.7916799
nrsa0809,12833,NRS_ID-10115,FW08ID006,1,2008,42.0073,-115.2197,23284675,4.750420265,1.458183692
nrsa0809,12834,NRS_ID-10055,FW08ID007,1,2008,45.02325,-114.4462,23533481,0.387171261,0.387171261
nrsa0809,12841,NRS_ID-10192,FW08ID008,1,2008,42.04746,-114.4203,23196240,67.19877186,37.96077994
nrsa0809,11106,NRS_IL-10016,FW08IL006,1,2008,37.52548,-89.18786,1837075,2.55022257,1.925195252
nrsa0809,11118,NRS_IL-10050,FW08IL024,1,2008,37.85242,-89.19183,13785746,16.94064967,8.567179339
nrsa0809,11120,NRS_IL-10054,FW08IL028,1,2008,37.85027,-89.33574,13785708,18.25612273,8.108470349
nrsa0809,11121,NRS_IL-10055,FW08IL029,1,2008,40.06322,-90.30727,13608862,4.900010796,4.147034783
nrsa0809,11123,NRS_IL-10057,FW08IL031,1,2008,41.51647,-90.30616,10608888,17.90121616,24.03249639
nrsa0809,11124,NRS_IL-10062,FW08IL036,1,2008,40.15377,-89.67551,13554837,4.484291043,3.823248385
nrsa0809,11125,NRS_IL-10064,FW08IL038,1,2008,42.49488,-89.26561,13426433,2.140435533,38.80965516
nrsa0809,11175,NRS_IN-10015,FW08IN002,1,2008,39.41489,-86.00842,18461820,5.220477236,4.909937914
nrsa0809,11176,NRS_IN-10016,FW08IN003,1,2008,40.07581,-84.84431,3984064,4.572570932,6.566680233
nrsa0809,11177,NRS_IN-10009,FW08IN004,1,2008,41.09378,-85.80107,18498560,12.76394315,12.76394315
nrsa0809,11180,NRS_IN-10021,FW08IN005,1,2008,40.76093,-84.98839,15672757,33.42114094,33.42114094
nrsa0809,9928,NRS_IN-10031,FW08IN013,1,2008,41.67527,-86.07586,12265034,7.462450613,17.20885075
nrsa0809,11186,NRS_IN-10032,FW08IN014,1,2008,40.31739,-87.30045,10205701,1.94013791,4.35359462
nrsa0809,11187,NRS_IN-10033,FW08IN015,1,2008,40.90641,-86.71153,18490834,3.155263434,9.919132198
nrsa0809,11189,NRS_IN-10035,FW08IN017,1,2008,41.15722,-86.58539,18487754,0,11.44966024
nrsa0809,11191,NRS_IN-10038,FW08IN020,1,2008,41.17254,-87.38959,13437933,5.570310839,7.99073079
nrsa0809,11195,NRS_IN-10043,FW08IN025,1,2008,41.66737,-85.942,12261122,25.84961341,26.96284454
nrsa0809,11197,NRS_IN-10047,FW08IN029,1,2008,41.60258,-86.11116,12264588,15.29404708,15.29404708
nrsa0809,11199,NRS_IN-10051,FW08IN033,1,2008,41.1726,-86.51701,18487638,3.756756637,11.72853181
nrsa0809,13211,NRS_KS-10008,FW08KS003,1,2008,37.39528,-98.92628,21012349,35.54102925,43.1596119
nrsa0809,10002,NRS_KS-10007,FW08KS005,1,2008,38.19893,-95.42768,10125204,39.79165922,35.93238557
nrsa0809,10003,NRS_KS-10011,FW08KS006,1,2008,37.47702,-98.36534,20983869,23.40310917,27.19725314
nrsa0809,10828,NRS_KS-10061,FW08KS033,1,2008,37.9745,-101.788,21249994,44.83998343,7.338976716
nrsa0809,10006,NRS_KS-10064,FW08KS036,1,2008,37.99323,-99.32134,22082845,40.98372982,8.750282875
nrsa0809,10007,NRS_KS-10067,FW08KS039,1,2008,39.01571,-95.84061,3646540,8.005971476,11.30714998
nrsa0809,12197,NRS_KS-10068,FW08KS040,1,2008,37.85232,-97.94179,21160591,31.27504267,26.91837579
nrsa0809,12200,NRS_KS-10071,FW08KS043,1,2008,38.7064,-95.80727,10115436,15.08607788,27.14839696
nrsa0809,NA,NRS_KY-10044,FW08KY029,1,2008,37.22122,-88.92693,1839935,0.017775882,13.98614499
nrsa0809,NA,NRS_KY-10047,FW08KY032,1,2008,37.82504,-87.15127,10110367,9.508652564,12.33717309
nrsa0809,12365,NRS_LA-10040,FW08LA006,1,2008,31.1524,-92.809,15083581,14.71115961,6.101597794
nrsa0809,12371,NRS_LA-10082,FW08LA014,1,2008,32.78465,-91.95737,19474563,6.389664311,3.533601577
nrsa0809,12381,NRS_LA-10097,FW08LA029,1,2008,31.37416,-92.56085,19919288,7.017118701,24.56579988
nrsa0809,12382,NRS_LA-10098,FW08LA030,1,2008,32.71238,-92.27882,15222340,20.70076892,6.648466419
nrsa0809,12384,NRS_LA-10100,FW08LA032,1,2008,31.7433,-91.57782,19280778,2.882970906,5.420230539
nrsa0809,12385,NRS_LA-10101,FW08LA033,1,2008,31.39441,-91.80343,19374362,1.608412151,6.70307148
nrsa0809,12502,NRS_LA-10104,FW08LA036,1,2008,30.75506,-91.59552,19085477,4.564888993,14.50814149
nrsa0809,12387,NRS_LA-10105,FW08LA037,1,2008,31.81473,-93.05754,19918026,14.76573669,25.19473621
nrsa0809,11465,NRS_LA-10112,FW08LA044,1,2008,32.31668,-90.90508,19266232,1.003778813,14.5595258
nrsa0809,12503,NRS_LA-10119,FW08LA051,1,2008,30.20902,-91.04197,25732008,3.139288716,14.50392644
nrsa0809,12504,NRS_LA-10120,FW08LA052,1,2008,30.74231,-91.36273,19085479,2.951064541,14.50643814
nrsa0809,12505,NRS_LA-10130,FW08LA067,1,2008,30.0469,-90.54005,19086179,0,14.50352991
nrsa0809,12506,NRS_LA-10131,FW08LA068,1,2008,30.50566,-91.25907,19085519,3.024657622,14.50472717
nrsa0809,12507,NRS_LA-10132,FW08LA070,1,2008,29.93991,-90.00287,22814383,0,14.50202347
nrsa0809,11457,NRS_LA-10140,FW08LA088,1,2008,31.53964,-91.45261,19268286,0.600138278,14.52547921
nrsa0809,11458,NRS_LA-10144,FW08LA096,1,2008,31.63062,-91.39925,938060154,1.976146673,14.52583789
nrsa0809,NA,NRS_LA-10148,FW08LA100,1,2008,30.99722,-91.64245,19269466,0.519589739,14.5088778
nrsa0809,11460,NRS_LA-10150,FW08LA104,1,2008,31.08966,-91.59474,19269168,0.908021791,14.50934865
nrsa0809,11455,NRS_LA-10152,FW08LA108,1,2008,32.40964,-90.99592,18061866,1.071937368,14.67923383
nrsa0809,12508,NRS_LA-10161,FW08LA131,1,2008,30.04066,-90.63435,19086185,0,14.50359446
nrsa0809,12509,NRS_LA-10163,FW08LA134,1,2008,29.87322,-89.90432,22798749,1.64198493,14.50163121
nrsa0809,12510,NRS_LA-10168,FW08LA151,1,2008,29.98097,-90.82047,19088123,0.874660247,14.50371558
nrsa0809,NA,NRS_LA-10169,FW08LA152,1,2008,31.43106,-91.50559,19269130,0.70315856,14.52448766
nrsa0809,12525,NRS_LA-10179,FW08LA167,1,2008,30.1532,-90.99949,19086167,11.49312946,14.50392448
nrsa0809,12512,NRS_LA-10183,FW08LA180,1,2008,30.57489,-91.31237,19085501,3.490351194,14.50488501
nrsa0809,12513,NRS_LA-10184,FW08LA182,1,2008,29.83838,-89.98985,22798749,1.64198493,14.50163121
nrsa0809,12514,NRS_LA-10185,FW08LA195,1,2008,29.99782,-90.46133,22799299,0.653835512,14.50350328
nrsa0809,12515,NRS_LA-10186,FW08LA198,1,2008,29.92105,-89.92791,22798749,1.64198493,14.50163121
nrsa0809,12516,NRS_LA-10187,FW08LA227,1,2008,30.26708,-91.12171,19086949,3.081314004,14.50404389
nrsa0809,12517,NRS_LA-10188,FW08LA228,1,2008,30.83666,-91.52369,19085455,9.237614651,14.50823054
nrsa0809,11718,NRS_MA-10047,FW08MA001,1,2008,42.0905,-71.2976,5867107,0.522916293,0.543184198
nrsa0809,11724,NRS_MA-10053,FW08MA006,1,2008,41.87494,-71.09397,6129881,0.248852863,1.338384687
nrsa0809,11726,NRS_MA-10054,FW08MA007,1,2008,42.81381,-71.001,6745786,0.649425405,1.544001647
nrsa0809,11727,NRS_MA-10060,FW08MA013,1,2008,42.15884,-72.57666,7692197,0.409278716,2.308094721
nrsa0809,11728,NRS_MA-10064,FW08MA017,1,2008,42.20402,-72.59054,6782191,0.650496448,3.953313536
nrsa0809,11732,NRS_MA-10065,FW08MA018,1,2008,41.95756,-70.93361,6126589,0.663716673,0.699162167
nrsa0809,11469,NRS_MD-10013,FW08MD001,1,2008,38.44067,-76.69706,11909178,3.071615629,3.184304591
nrsa0809,11472,NRS_MD-10017,FW08MD002,1,2008,38.82803,-76.98111,22337801,0.344341648,0.344341648
nrsa0809,11491,NRS_MD-10014,FW08MD003,1,2008,39.64269,-78.49872,8431624,0.514433646,0.514433646
nrsa0809,11474,NRS_MD-10011,FW08MD004,1,2008,39.64848,-77.18089,8448522,22.16192494,22.16192494
nrsa0809,11492,NRS_MD-10008,FW08MD005,1,2008,38.27006,-75.27663,8401909,0.864905124,0.864905124
nrsa0809,11476,NRS_MD-10019,FW08MD007,1,2008,39.5967,-79.08394,14363934,1.271619278,5.963774791
nrsa0809,11479,NRS_MD-10024,FW08MD012,1,2008,39.17989,-77.50736,4507412,36.33954624,23.46756802
nrsa0809,11501,NRS_MD-10026,FW08MD014,1,2008,38.65172,-77.12458,22340887,0.135610407,21.26419313
nrsa0809,11482,NRS_MD-10030,FW08MD018,1,2008,38.6158,-77.16856,22341047,0.003830726,21.24587634
nrsa0809,11481,NRS_MD-10032,FW08MD020,1,2008,39.45734,-77.79813,5894782,16.13056037,16.09157159
nrsa0809,11485,NRS_MD-10036,FW08MD024,1,2008,39.18483,-77.48623,4507406,4.826522508,23.46501791
nrsa0809,11806,NRS_ME-10246,FW08ME001,1,2008,45.94507,-69.84799,1701588,1.898527922,1.898527922
nrsa0809,11808,NRS_ME-10240,FW08ME002,1,2008,47.16991,-68.90736,4287419,0.172680768,0.227420213
nrsa0809,11814,NRS_ME-10262,FW08ME003,1,2008,43.4399,-70.5563,5845376,1.306978784,1.455649827
nrsa0809,11815,NRS_ME-10254,FW08ME004,1,2008,44.89178,-70.38442,3323290,0.429602644,0.580155361
nrsa0809,11816,NRS_ME-10251,FW08ME005,1,2008,44.96033,-68.99696,1735618,2.216819308,2.043238126
nrsa0809,11819,NRS_ME-10247,FW08ME006,1,2008,45.88456,-67.86176,5194912,0.258834034,0.258834034
nrsa0809,11820,NRS_ME-10245,FW08ME007,1,2008,45.69044,-70.0993,1023634,2.428661205,1.275850952
nrsa0809,11821,NRS_ME-10243,FW08ME008,1,2008,46.43544,-69.43808,720058,0.213245578,0.277529278
nrsa0809,11823,NRS_ME-10244,FW08ME009,1,2008,46.6377,-67.79621,816563,0.463218104,0.372152876
nrsa0809,11824,NRS_ME-10239,FW08ME010,1,2008,47.11116,-69.01444,4288323,0.122461662,0.240280186
nrsa0809,11825,NRS_ME-10256,FW08ME011,1,2008,44.98341,-69.55645,3320216,1.112661494,0.815122214
nrsa0809,11840,NRS_ME-10277,FW08ME027,1,2008,44.00309,-70.09861,6712643,9.982236871,1.424755778
nrsa0809,11211,NRS_MI-10063,FW08MI037,1,2008,42.33163,-83.00431,10850232,NA,NA
nrsa0809,11200,NRS_MI-10064,FW08MI038,1,2008,42.0642,-85.14744,12255494,4.828799125,8.980681208
nrsa0809,11213,NRS_MI-10067,FW08MI041,1,2008,44.0295,-85.03819,12130714,0.728067259,9.305669419
nrsa0809,11214,NRS_MI-10068,FW08MI042,1,2008,43.32695,-86.00557,12135392,5.764514985,10.08005872
nrsa0809,11215,NRS_MI-10070,FW08MI044,1,2008,43.04412,-84.86365,12232132,10.99046866,21.7690094
nrsa0809,11217,NRS_MI-10072,FW08MI046,1,2008,43.42079,-85.7934,12134936,17.56370978,9.867756355
nrsa0809,11218,NRS_MI-10073,FW08MI047,1,2008,46.88433,-88.53444,11929870,0,0.332679295
nrsa0809,11219,NRS_MI-10074,FW08MI048,1,2008,46.55485,-85.11661,12186645,2.495958753,0.4431265
nrsa0809,11220,NRS_MI-10076,FW08MI050,1,2008,45.0829,-83.49056,12960535,10.27899309,4.256093636
nrsa0809,11221,NRS_MI-10083,FW08MI057,1,2008,43.67563,-85.46991,12133526,4.646259514,9.874873486
nrsa0809,11222,NRS_MI-10084,FW08MI058,1,2008,42.9422,-85.18561,9008281,6.369149437,16.07303186
nrsa0809,11296,NRS_MN-10089,FW08MN049,1,2008,44.34015,-93.9394,4141632,3.703975111,9.562195778
nrsa0809,12711,NRS_MO-10018,FW08MO004,1,2008,37.77833,-91.03217,5057167,19.70283201,7.133730498
nrsa0809,12712,NRS_MO-10025,FW08MO005,1,2008,39.92376,-95.06118,3703114,7.729585815,6.095777468
nrsa0809,12713,NRS_MO-10024,FW08MO006,1,2008,37.88951,-93.7208,7371325,22.82884933,40.80557688
nrsa0809,12714,NRS_MO-10027,FW08MO007,1,2008,38.48031,-93.61434,2333107,24.4200249,33.88241269
nrsa0809,12716,NRS_MO-10032,FW08MO012,1,2008,39.73427,-93.94027,5108252,38.15002812,37.40662015
nrsa0809,12719,NRS_MO-10055,FW08MO035,1,2008,39.20884,-92.5346,5155983,30.07466798,17.230268
nrsa0809,12721,NRS_MO-10062,FW08MO044,1,2008,37.42968,-93.24451,7390081,55.90743878,55.90743878
nrsa0809,11664,NRS_MO-10074,FW08MO086,1,2008,36.02181,-89.69353,7470420,2.546691325,13.80667449
nrsa0809,11665,NRS_MO-10075,FW08MO102,1,2008,36.5617,-89.39618,7469390,0.099539949,13.81960823
nrsa0809,11666,NRS_MO-10076,FW08MO150,1,2008,36.16988,-89.61058,7470402,0.171911531,13.80740349
nrsa0809,11671,NRS_MO-10077,FW08MO214,1,2008,36.91159,-89.11591,7477806,3.359689078,13.82584222
nrsa0809,11463,NRS_MS-10023,FW08MS006,1,2008,31.26353,-91.60387,19269144,2.249628279,14.51072444
nrsa0809,11464,NRS_MS-10031,FW08MS014,1,2008,31.98291,-91.13958,19268252,0.37494462,14.53620342
nrsa0809,11668,NRS_MS-10036,FW08MS019,1,2008,34.37092,-90.67842,14191031,1.121957424,13.64783075
nrsa0809,NA,NRS_MS-10087,FW08MS070,1,2008,31.36445,-91.4796,19269936,3.328346877,14.52398226
nrsa0809,11669,NRS_MS-10100,FW08MS083,1,2008,33.7759,-91.07395,18055920,0.384694603,14.68611709
nrsa0809,11670,NRS_MS-10111,FW08MS094,1,2008,33.43219,-91.12303,18057758,0.2998979,14.68394432
nrsa0809,11672,NRS_MS-10119,FW08MS127,1,2008,34.60598,-90.58244,14190011,0.603570791,13.65016308
nrsa0809,11673,NRS_MS-10120,FW08MS139,1,2008,34.77069,-90.4627,14189953,0.585432014,13.74481918
nrsa0809,11674,NRS_MS-10121,FW08MS147,1,2008,33.62007,-91.13443,18055956,0.608901737,14.68470746
nrsa0809,11675,NRS_MS-10122,FW08MS191,1,2008,34.18554,-90.8765,14191053,0.351449783,13.64619434
nrsa0809,11676,NRS_MS-10123,FW08MS203,1,2008,34.88724,-90.28323,14189935,0.151123731,13.74553002
nrsa0809,11677,NRS_MS-10124,FW08MS211,1,2008,33.86708,-91.06413,14197799,0.537728999,13.76336777
nrsa0809,11702,NRS_MS-10125,FW08MS238,1,2008,33.10874,-91.15072,18063208,0.985792745,14.68227792
nrsa0809,11502,NRS_MT-10021,FW08MT001,1,2008,46.93089,-110.8698,12421177,0.579784159,0.579784159
nrsa0809,11504,NRS_MT-10145,FW08MT002,1,2008,45.14161,-109.0399,4264568,4.20007541,11.58647461
nrsa0809,11563,NRS_MT-10141,FW08MT004,1,2008,47.49901,-110.7164,12444631,8.782904974,2.726539569
nrsa0809,11507,NRS_MT-10017,FW08MT005,1,2008,45.90723,-113.4809,4222526,0.340143353,0.334877984
nrsa0809,11508,NRS_MT-10117,FW08MT007,1,2008,46.68544,-114.559,24319374,1.389703606,1.360649443
nrsa0809,11509,NRS_MT-10083,FW08MT008,1,2008,46.25087,-109.7696,12620920,10.87064401,9.72493987
nrsa0809,11533,NRS_MT-10156,FW08MT013,1,2008,45.91294,-108.4088,7196759,11.74786544,17.91841425
nrsa0809,11511,NRS_MT-10201,FW08MT014,1,2008,47.08178,-111.5943,12416793,5.510665653,4.355563783
nrsa0809,11975,NRS_ND-10152,FW08ND001,1,2008,46.38959,-100.8728,16203718,16.67619215,12.63890632
nrsa0809,11979,NRS_ND-10138,FW08ND003,1,2008,48.06338,-100.9209,14172567,5.607014388,5.166711036
nrsa0809,11980,NRS_ND-10006,FW08ND004,1,2008,47.45974,-96.87662,14145293,2.853980062,3.800131251
nrsa0809,11981,NRS_ND-10008,FW08ND005,1,2008,46.58916,-101.7333,16224157,12.86775474,16.11957936
nrsa0809,11983,NRS_ND-10014,FW08ND006,1,2008,46.90918,-103.5473,14569798,8.313907984,9.738096603
nrsa0809,11961,NRS_ND-10005,FW08ND007,1,2008,48.92109,-98.07485,14414979,0.647076354,1.940891977
nrsa0809,11985,NRS_ND-10056,FW08ND010,1,2008,47.30458,-102.1929,16246991,18.78984579,17.49123905
nrsa0809,11986,NRS_ND-10007,FW08ND012,1,2008,46.03088,-101.6171,21861500,20.06975416,12.29480445
nrsa0809,11987,NRS_ND-10150,FW08ND013,1,2008,46.478,-102.2405,16213846,14.44151607,7.553269935
nrsa0809,11988,NRS_ND-10143,FW08ND015,1,2008,46.9902,-102.8888,16235093,15.8615172,15.98047353
nrsa0809,11989,NRS_ND-10035,FW08ND017,1,2008,47.25585,-101.8084,16248881,22.55857879,15.71120516
nrsa0809,9694,NRS_ND-10120,FW08ND018,1,2008,47.37906,-102.7053,16246771,22.12987651,20.21957148
nrsa0809,12024,NRS_ND-10261,FW08ND022,1,2008,47.16034,-102.0421,16247357,9.7360842,16.85190628
nrsa0809,12016,NRS_ND-10271,FW08ND032,1,2008,46.53464,-100.4418,14482496,40.05743787,20.38733806
nrsa0809,12019,NRS_ND-10274,FW08ND035,1,2008,48.43887,-97.43963,14428870,2.994614659,2.784080672
nrsa0809,12021,NRS_ND-10278,FW08ND039,1,2008,48.11971,-97.17403,14439196,12.19465511,5.889987736
nrsa0809,12022,NRS_ND-10279,FW08ND040,1,2008,46.77582,-101.1706,16223619,13.48380002,16.02788059
nrsa0809,12030,NRS_ND-10283,FW08ND044,1,2008,46.74676,-100.7428,14682348,9.848335363,17.83816685
nrsa0809,12032,NRS_ND-10291,FW08ND052,1,2008,46.32399,-101.8133,16214196,14.37279248,8.620005204
nrsa0809,12033,NRS_ND-10294,FW08ND055,1,2008,47.25021,-96.84413,6696842,7.487204217,7.323848607
nrsa0809,12034,NRS_ND-10295,FW08ND056,1,2008,46.74136,-101.4838,16223641,9.145941518,18.94207936
nrsa0809,12035,NRS_ND-10296,FW08ND057,1,2008,46.92584,-103.5407,14567692,15.91526355,9.737493655
nrsa0809,12036,NRS_ND-10299,FW08ND060,1,2008,46.27687,-101.028,16203260,6.2937769,11.86076644
nrsa0809,12037,NRS_ND-10300,FW08ND061,1,2008,47.84138,-103.9661,21873485,6.120443888,6.945834545
nrsa0809,12041,NRS_ND-10302,FW08ND063,1,2008,46.7078,-96.95316,14828151,2.73555309,8.396864676
nrsa0809,12275,NRS_ND-10318,FW08ND079,1,2008,46.83042,-96.78716,6667869,3.651658046,8.167356232
nrsa0809,12062,NRS_NE-10009,FW08NE001,1,2008,42.62211,-103.7164,16101059,7.88402164,15.38673068
nrsa0809,12063,NRS_NE-10020,FW08NE010,1,2008,41.14421,-101.2123,17431128,52.48484039,10.86948782
nrsa0809,12066,NRS_NE-10024,FW08NE014,1,2008,40.24541,-99.70083,19043411,10.64190649,14.83153659
nrsa0809,12067,NRS_NE-10027,FW08NE017,1,2008,41.25373,-103.6114,17448647,1.985361755,8.834824732
nrsa0809,12070,NRS_NE-10036,FW08NE026,1,2008,42.43359,-103.6993,16068263,18.32563903,10.19186703
nrsa0809,12073,NRS_NE-10055,FW08NE045,1,2008,42.71544,-102.0302,16051700,39.925752,15.15708863
nrsa0809,11594,NRS_NH-10077,FW08NH014,1,2008,43.43264,-71.65002,6741776,0.960376862,1.389727449
nrsa0809,11595,NRS_NH-10079,FW08NH016,1,2008,42.84932,-72.55309,9332538,0.964388651,4.103685248
nrsa0809,11601,NRS_NH-10080,FW08NH017,1,2008,43.4303,-72.39501,9331302,4.254947909,4.328535126
nrsa0809,11597,NRS_NH-10081,FW08NH018,1,2008,43.25604,-71.6225,6761938,2.760709767,1.909022231
