SITE_ID,VISIT_NO,YEAR,UID,COMID,LAT_DD83,LON_DD83,REALM,PFC_ALG,PFC_AQM,PFC_BRS,PFC_HUM,PFC_LVT,PFC_LWD,PFC_OHV,PFC_RCK,PFC_UCB,XFC_ALG,XFC_ALL,XFC_AQM,XFC_BRS,XFC_HUM,XFC_LVT,XFC_LWD,XFC_NAT,XFC_OHV,XFC_RCK,XFC_UCB,SumAll_PFC,SumAll_noAlgAQM,SumNat_PFC,SumBig_PFC,XFC_NAT_ALG_AQM
ALSS-1063,1,2013,10289,22271200,33.35582999,-86.60632571,WADEABLE,0,0,0.545454545,0,0,0.454545455,0.818181818,0,0.090909091,0,0.186363636,0,0.063636364,0,0,0.040909091,0.186363636,0.059090909,0,0.022727273,1.909090909,1.909090909,1.909090909,1.909090909,0.186363637
ALSS-1064,1,2013,10320,21657616,33.11466667,-87.11904805,WADEABLE,0,0,0.636363636,0,0,0.090909091,0.909090909,0.636363636,0.181818182,0,0.177272727,0,0.031818182,0,0,0.004545455,0.177272727,0.081818182,0.031818182,0.027272727,2.454545454,2.454545454,2.454545454,2.454545454,0.177272728
ALSS-1065,1,2013,10964,18563041,34.0789901,-86.50564137,WADEABLE,0.3,0.2,0.9,0,0.1,0.6,0.5,0.1,0.1,0.035,0.7475,0.03,0.345,0,0.005,0.155,0.6825,0.1475,0.005,0.025,2.8,2.3,2.8,2.3,0.7475
ALSS-1066,1,2013,12230,21456500,32.25358082,-87.00951398,WADEABLE,0,0,0.909090909,0,0.181818182,0.272727273,0.818181818,0,0.545454545,0,0.347727273,0,0.118181818,0,0.009090909,0.05,0.347727273,0.106818182,0,0.063636364,2.727272727,2.727272727,2.727272727,2.727272727,0.347727273
ARLS-1045,1,2013,10897,15306551,34.78806237,-91.87004852,BOATABLE,0,0.272727273,0.454545455,0,0.818181818,0.272727273,0.9,0,0,0,0.306590909,0.013636364,0.022727273,0,0.040909091,0.031818182,0.292954545,0.1975,0,0,2.7181818190000002,2.445454546,2.7181818190000002,2.445454546,0.30659091
ARLS-1046,1,2013,11405,22701774,33.99517345,-93.38717492,WADEABLE,0,0.727272727,0.363636364,0,0.181818182,0.545454545,0.272727273,0,0,0,0.140909091,0.036363636,0.018181818,0,0.027272727,0.045454545,0.104545455,0.013636364,0,0,2.090909091,1.363636364,2.090909091,1.363636364,0.14090909
ARLS-1047,1,2013,10683,7765651,35.56232603,-93.28855046,WADEABLE,0,0.727272727,0.363636364,0,0.181818182,0.090909091,0.454545455,0.090909091,0.090909091,0,0.25,0.090909091,0.018181818,0,0.056818182,0.004545455,0.159090909,0.070454545,0.004545455,0.004545455,2.000000001,1.272727274,2.000000001,1.272727274,0.250000001
ARLS-1048,1,2013,11820,11808920,36.10229527,-91.61969816,WADEABLE,0.272727273,0.363636364,0.545454545,0,0.272727273,0,0.272727273,0.090909091,0,0.068181818,0.2,0.036363636,0.045454545,0,0.013636364,0,0.095454545,0.013636364,0.022727273,0,1.818181819,1.181818182,1.818181819,1.181818182,0.2
ARR9-0901,1,2013,11964,7471678,35.62598093,-89.87932863,BOATABLE,0,0,0.090909091,0.181818182,0,0.181818182,0,0.181818182,0,0,0.031818182,0,0.004545455,0.009090909,0,0.009090909,0.022727273,0,0.009090909,0,0.636363637,0.636363637,0.454545455,0.454545455,0.022727273
ARR9-0901,2,2013,12217,7471678,35.62598093,-89.87932863,BOATABLE,0,0,0,0.272727273,0,0,0,0.363636364,0,0,0.031818182,0,0,0.013636364,0,0,0.018181818,0,0.018181818,0,0.636363637,0.636363637,0.363636364,0.363636364,0.018181818
ARR9-0902,1,2013,12141,14865395,34.35270394,-91.10541947,BOATABLE,0,0,0.363636364,0,0,0.272727273,0,0.272727273,0,0,0.045454545,0,0.018181818,0,0,0.013636364,0.045454545,0,0.013636364,0,0.90909091,0.90909091,0.90909091,0.90909091,0.045454546
ARR9-0902,2,2013,12536,14865395,34.35270394,-91.10541947,BOATABLE,0,0,0.545454545,0,0,0.181818182,0,0.090909091,0,0,0.095454545,0,0.063636364,0,0,0.009090909,0.095454545,0,0.022727273,0,0.818181818,0.818181818,0.818181818,0.818181818,0.095454546
ARR9-0903,1,2013,12195,3682162,34.69500093,-90.64588479,BOATABLE,0,0,0.181818182,0,0,0.090909091,0,0,0,0,0.013636364,0,0.009090909,0,0,0.004545455,0.013636364,0,0,0,0.272727273,0.272727273,0.272727273,0.272727273,0.013636364
ARR9-0904,1,2013,10637,7751684,35.67817479,-93.74408949,WADEABLE,0,0.545454545,0.181818182,0,0,0,0.090909091,0.090909091,0,0,0.129545455,0.111363636,0.009090909,0,0,0,0.018181818,0.004545455,0.004545455,0,0.909090909,0.363636364,0.909090909,0.363636364,0.129545455
ARR9-0905,1,2013,10998,21821222,33.55630442,-92.02261247,BOATABLE,0.818181818,0,0.818181818,0,0,0.818181818,0,0,0,0.154545455,0.272727273,0,0.040909091,0,0,0.077272727,0.118181818,0,0,0,2.454545454,1.636363636,2.454545454,1.636363636,0.272727273
ARR9-0906,1,2013,10686,7830270,34.92887775,-93.36068491,BOATABLE,0,0,0.7,0,0.181818182,0.454545455,0.454545455,0.090909091,0,0,0.112272727,0,0.035,0,0.009090909,0.022727273,0.112272727,0.022727273,0.022727273,0,1.881818183,1.881818183,1.881818183,1.881818183,0.112272728
ARR9-0907,1,2013,12387,22864775,34.8014198,-90.77003066,BOATABLE,0,0,0.818181818,0,0.636363636,0.363636364,0.909090909,0,0,0,0.263636364,0,0.077272727,0,0.031818182,0.018181818,0.263636364,0.136363636,0,0,2.727272727,2.727272727,2.727272727,2.727272727,0.263636363
ARR9-0908,1,2013,11385,3747896,33.61703373,-93.86000774,BOATABLE,0.090909091,0,0.545454545,0,0,0.272727273,0.090909091,0,0,0.004545455,0.068181818,0,0.027272727,0,0,0.013636364,0.063636364,0.022727273,0,0,1,0.909090909,1,0.909090909,0.068181819
ARR9-0909,1,2013,11763,3672208,35.53264371,-90.44201227,BOATABLE,0,0,0.454545455,0,0.636363636,0.272727273,1,0,0,0,0.193181818,0,0.022727273,0,0.031818182,0.013636364,0.193181818,0.125,0,0,2.363636364,2.363636364,2.363636364,2.363636364,0.193181819
ARRM-1001,1,2013,11967,7471684,35.60183839,-89.90212085,BOATABLE,0,0,0.181818182,0,0,0,0,0.363636364,0,0,0.027272727,0,0.009090909,0,0,0,0.027272727,0,0.018181818,0,0.545454546,0.545454546,0.545454546,0.545454546,0.027272727
ARRM-1002,1,2013,12192,18057726,33.32930924,-91.16314402,BOATABLE,0,0,0.090909091,0.272727273,0,0,0,0.545454545,0,0,0.063636364,0,0.004545455,0.013636364,0,0,0.05,0,0.045454545,0,0.909090909,0.909090909,0.636363636,0.636363636,0.05
ARRM-1003,1,2013,11878,3747886,33.63585026,-93.90637933,BOATABLE,0,0,0.727272727,0,0,0.545454545,0.090909091,0.181818182,0,0,0.113636364,0,0.054545455,0,0,0.045454545,0.113636364,0.004545455,0.009090909,0,1.545454545,1.545454545,1.545454545,1.545454545,0.113636364
ARRM-1004,1,2013,10420,7789108,35.07579703,-92.6396901,BOATABLE,0,0.090909091,0.181818182,0,0.090909091,0.090909091,0.181818182,0.272727273,0.090909091,0,0.122727273,0.004545455,0.009090909,0,0.022727273,0.004545455,0.118181818,0.009090909,0.068181818,0.004545455,1.000000001,0.90909091,1.000000001,0.90909091,0.122727274
ARRM-1005,1,2013,11966,7474830,35.12046784,-90.09056726,BOATABLE,0,0,0,0.272727273,0,0,0,0.363636364,0,0,0.031818182,0,0,0.013636364,0,0,0.018181818,0,0.018181818,0,0.636363637,0.636363637,0.363636364,0.363636364,0.018181818
ARRO-1021,1,2013,10491,7765979,35.54235426,-93.16001748,WADEABLE,0.090909091,1,0.090909091,0,0.272727273,0.090909091,0.454545455,0.636363636,0,0.004545455,0.315909091,0.161363636,0.004545455,0,0.013636364,0.004545455,0.15,0.022727273,0.104545455,0,2.636363637,1.545454546,2.636363637,1.545454546,0.315909093
ARRO-1022,1,2013,11859,11774983,35.51034183,-91.92886981,BOATABLE,0.545454545,0.727272727,0.454545455,0.181818182,0,0.363636364,0.090909091,0,0.090909091,0.027272727,0.320454545,0.215909091,0.040909091,0.009090909,0,0.018181818,0.068181818,0.004545455,0,0.004545455,2.454545455,1.181818183,2.272727273,1.000000001,0.311363637
ARRO-1023,1,2013,12395,19933559,33.19634208,-93.39312989,WADEABLE,0,0.272727273,0.909090909,0,0.818181818,0.636363636,0.272727273,0,0,0,0.236363636,0.013636364,0.081818182,0,0.059090909,0.068181818,0.222727273,0.013636364,0,0,2.909090909,2.636363636,2.909090909,2.636363636,0.236363637
ARRO-1024,1,2013,10924,15314419,34.37758587,-91.62510612,BOATABLE,0,0,0.636363636,0,0.090909091,0.454545455,0.181818182,0,0,0,0.104545455,0,0.05,0,0.004545455,0.040909091,0.104545455,0.009090909,0,0,1.363636364,1.363636364,1.363636364,1.363636364,0.104545455
ARS9-0944,1,2013,11140,22699450,34.06488091,-93.44225956,WADEABLE,0,0.636363636,0.454545455,0,0.454545455,0,0.727272727,0.727272727,0.090909091,0,0.275,0.097727273,0.022727273,0,0.022727273,0,0.177272727,0.072727273,0.054545455,0.004545455,3.090909091,2.454545455,3.090909091,2.454545455,0.275000002
ARS9-0944,2,2013,11449,22699450,34.06488091,-93.44225956,WADEABLE,0,0.545454545,0.454545455,0,0.454545455,0.181818182,0.727272727,0.818181818,0,0,0.427272727,0.138636364,0.022727273,0,0.022727273,0.009090909,0.288636364,0.084090909,0.15,0,3.181818182,2.636363637,3.181818182,2.636363637,0.427272728
ARS9-0945,1,2013,11874,11807676,36.23849513,-91.90776752,WADEABLE,0.181818182,0.545454545,0.272727273,0,0.363636364,0.090909091,0.454545455,0,0,0.009090909,0.113636364,0.027272727,0.031818182,0,0.018181818,0.004545455,0.077272727,0.022727273,0,0,1.90909091,1.181818183,1.90909091,1.181818183,0.113636364
ARS9-0945,2,2013,12264,11807676,36.23849513,-91.90776752,WADEABLE,0.090909091,0.636363636,0.272727273,0,0.181818182,0.090909091,0.363636364,0.090909091,0.090909091,0.004545455,0.163636364,0.086363636,0.013636364,0,0.009090909,0.004545455,0.072727273,0.036363636,0.004545455,0.004545455,1.818181819,1.090909092,1.818181819,1.090909092,0.163636365
ARS9-0946,1,2013,10360,11800649,35.3466556,-91.32230048,WADEABLE,0,0.727272727,0.818181818,0.090909091,0.363636364,0.272727273,0.727272727,0,0,0,0.277272727,0.090909091,0.059090909,0.004545455,0.018181818,0.013636364,0.181818182,0.090909091,0,0,3,2.272727273,2.909090909,2.181818182,0.272727273
ARS9-0949,1,2013,11632,11828858,36.11488649,-91.96699076,WADEABLE,0,0.363636364,0.272727273,0,0.636363636,0,0.818181818,0.181818182,0,0,0.197727273,0.036363636,0.031818182,0,0.031818182,0,0.161363636,0.088636364,0.009090909,0,2.272727273,1.909090909,2.272727273,1.909090909,0.197727273
ARS9-0950,1,2013,11633,11774535,35.51270346,-91.61686914,WADEABLE,0,0,0.363636364,0,0.181818182,0.090909091,0.636363636,0,0.090909091,0,0.086363636,0,0.018181818,0,0.009090909,0.004545455,0.086363636,0.05,0,0.004545455,1.363636364,1.363636364,1.363636364,1.363636364,0.086363637
ARSS-1090,1,2013,10685,21996574,34.48397285,-92.8421627,WADEABLE,0,0,0.454545455,0,0.454545455,0.272727273,0.636363636,0,0.272727273,0,0.140909091,0,0.040909091,0,0.022727273,0.031818182,0.140909091,0.031818182,0,0.013636364,2.090909092,2.090909092,2.090909092,2.090909092,0.140909092
ARSS-1091,1,2013,12293,15316241,34.39701698,-91.53053561,BOATABLE,0,0,0.090909091,0,0,0,0.818181818,0,0,0,0.045454545,0,0.004545455,0,0,0,0.045454545,0.040909091,0,0,0.909090909,0.909090909,0.909090909,0.909090909,0.045454546
AZLS-1048,1,2014,138740,1406141,36.70097932,-110.5255701,WADEABLE,0.181818182,0,0.363636364,0,0,0,0,0,0,0.009090909,0.027272727,0,0.018181818,0,0,0,0.018181818,0,0,0,0.545454546,0.363636364,0.545454546,0.363636364,0.027272727
AZLS-1048,2,2014,142270,1406141,36.70097932,-110.5255701,WADEABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZLS-1054,1,2014,138410,15932923,31.5146623,-110.128156,WADEABLE,1,1,0.272727273,0,0.272727273,0.090909091,0.454545455,0,0.363636364,0.336363636,0.495454545,0.05,0.013636364,0,0.013636364,0.004545455,0.109090909,0.040909091,0,0.036363636,3.454545456,1.454545456,3.454545456,1.454545456,0.495454546
AZLS-1054,2,2014,140530,15932923,31.5146623,-110.128156,WADEABLE,0.857142857,0.571428571,0,0,0,0,0.142857143,0,0.142857143,0.278571429,0.321428571,0.028571429,0,0,0,0,0.014285714,0.007142857,0,0.007142857,1.714285714,0.285714286,1.714285714,0.285714286,0.321428572
AZLS-1055,1,2013,10060,20451460,34.86995067,-112.0693473,WADEABLE,0.923076923,1,0.615384615,0,0.769230769,0.076923077,0.923076923,0,0,0.484615385,0.776923077,0.080769231,0.030769231,0,0.053846154,0.003846154,0.211538462,0.123076923,0,0,4.307692307,2.384615384,4.307692307,2.384615384,0.776923078
AZLS-1063,1,2014,138741,1406097,36.72811408,-110.5395079,WADEABLE,0.909090909,0,0.363636364,0,0,0.090909091,0,0.090909091,0,0.045454545,0.090909091,0,0.036363636,0,0,0.004545455,0.045454545,0,0.004545455,0,1.454545455,0.545454546,1.454545455,0.545454546,0.090909091
AZLS-1072,1,2014,142440,22441142,33.71384154,-110.8185129,WADEABLE,0.090909091,1,0.181818182,0,0.181818182,0,0.909090909,0.909090909,0,0.004545455,0.438636364,0.181818182,0.009090909,0,0.009090909,0,0.252272727,0.188636364,0.045454545,0,3.272727273,2.181818182,3.272727273,2.181818182,0.438636364
AZLS-1083,1,2014,155490,20495051,33.87831745,-109.2864585,WADEABLE,0,1,0,0.090909091,0,0,0,0.818181818,0,0,0.720454545,0.506818182,0,0.022727273,0,0,0.190909091,0,0.190909091,0,1.909090909,0.909090909,1.818181818,0.818181818,0.697727273
AZR9-0901,1,2013,10146,20736507,36.08766462,-111.8706113,BOATABLE,0.090909091,0,0.090909091,0,0,0,0.272727273,0.454545455,0,0.004545455,0.045454545,0,0.004545455,0,0,0,0.040909091,0.013636364,0.022727273,0,0.90909091,0.818181819,0.90909091,0.818181819,0.045454547
AZR9-0902,1,2013,10145,20736341,36.43346223,-111.8640926,BOATABLE,0,0,0,0,0,0,0,0.636363636,0,0,0.104545455,0,0,0,0,0,0.104545455,0,0.104545455,0,0.636363636,0.636363636,0.636363636,0.636363636,0.104545455
AZR9-0903,1,2013,10054,15890430,32.40882122,-111.1606295,WADEABLE,0.636363636,0.818181818,0.363636364,0,0.727272727,0,0.818181818,0,0.545454545,0.031818182,0.279545455,0.040909091,0.018181818,0,0.036363636,0,0.206818182,0.125,0,0.027272727,3.909090908,2.454545454,3.909090908,2.454545454,0.279545454
AZR9-0903,2,2013,10087,15890430,32.40882122,-111.1606295,WADEABLE,0.818181818,0.909090909,0.181818182,0,1,0.090909091,0.636363636,0,0.636363636,0.040909091,0.429545455,0.045454545,0.009090909,0,0.068181818,0.004545455,0.343181818,0.079545455,0,0.181818182,4.272727272,2.545454545,4.272727272,2.545454545,0.429545455
AZR9-0904,1,2014,138450,21322721,33.29395085,-109.494703,WADEABLE,0.181818182,0.818181818,0.545454545,0,0.818181818,0.090909091,0.636363636,0.727272727,0.181818182,0.009090909,0.368181818,0.077272727,0.027272727,0,0.040909091,0.004545455,0.281818182,0.031818182,0.168181818,0.009090909,3.999999999,2.999999999,3.999999999,2.999999999,0.368181818
AZR9-0913,1,2014,138210,10003816,33.47634213,-114.6053022,BOATABLE,0,0.181818182,0.454545455,0,0.090909091,0,0.818181818,0.727272727,0,0,0.240909091,0.009090909,0.077272727,0,0.004545455,0,0.231818182,0.095454545,0.054545455,0,2.272727273,2.090909091,2.272727273,2.090909091,0.240909091
AZR9-0913,2,2014,139690,10003816,33.47634213,-114.6053022,BOATABLE,0.181818182,0.636363636,0.090909091,0,0,0.090909091,0.727272727,0.727272727,0,0.009090909,0.388636364,0.079545455,0.022727273,0,0,0.004545455,0.3,0.127272727,0.145454545,0,2.454545454,1.636363636,2.454545454,1.636363636,0.388636364
AZRM-1001,1,2014,138220,10010648,33.66839781,-114.5312775,BOATABLE,0.090909091,0.454545455,0.545454545,0.181818182,0,0.090909091,0.636363636,0.636363636,0,0.004545455,0.309090909,0.163636364,0.027272727,0.009090909,0,0.004545455,0.131818182,0.05,0.05,0,2.636363636,2.09090909,2.454545454,1.909090908,0.300000001
AZRM-1002,1,2013,10203,20726660,35.91660252,-113.3346573,BOATABLE,0,0,0,0,0,0,0.090909091,1,0,0,0.6,0,0,0,0,0,0.6,0.004545455,0.595454545,0,1.090909091,1.090909091,1.090909091,1.090909091,0.6
AZRM-1003,1,2013,10911,20584904,34.16182459,-109.3017457,WADEABLE,0,1,0.090909091,0.272727273,0.090909091,0.090909091,0.272727273,0.636363636,0,0,0.477272727,0.068181818,0.079545455,0.031818182,0.004545455,0.004545455,0.377272727,0.031818182,0.256818182,0,2.454545455,1.454545455,2.181818182,1.181818182,0.445454547
AZRM-1004,1,2013,12304,22442058,33.62221751,-110.9257162,BOATABLE,0,0.9,0.1,0,0.3,0,0.8,0.333333333,0,0,1.059166667,0.52,0.025,0,0.015,0,0.539166667,0.4825,0.016666667,0,2.433333333,1.533333333,2.433333333,1.533333333,1.059166667
AZRO-1028,1,2014,146610,22430672,33.97792189,-111.3062778,WADEABLE,0,0,0,0,0,0,0.181818182,0.090909091,0,0,0.013636364,0,0,0,0,0,0.013636364,0.009090909,0.004545455,0,0.272727273,0.272727273,0.272727273,0.272727273,0.013636364
