"PUBLICATION_DATE","SITE_ID","DATE_COL","SITESAMP","VISIT_NO","AG_ECO3","AG_ECO3_NM","AG_ECO9","AG_ECO9_NM","BOAT_WADE","BORD_RIV","CH0813_WGT","CHNG_SF","CNTYNAME","COMID","DESC_CODE","ELEVATION","EPA_REG","EVALSTAT","EVALUATED","FEOW_ID","FRAME14","FRAME18_ID","FS_EW","GNIS_ID","GNIS_NAME","HUC2","HUC2_REG","HUC8","HUC8_NM","LAT_DD83","LON_DD83","MAJ_BAS_NM","MAJ_BASIN","MISS_BASIN","MISS_BASIN_NM","NA_L1CODE","NA_L1NAME","NA_L2CODE","NA_L2NAME","NA_L3CODE","NA_L3NAME","NARS_NAME","NARS_OWN","NFWAWGTCAT","NRS13_EVAL","NRS13_MDC","NRS13_PNL","NRS13_SF","NRS13_STRA","NRS13_TNT","NRS13_URBN","NRS13_VST","NRS13_WGTD","NRSA_USE","OWN_CODE","OWN_DESC","OWN_TYPE","OWNSHP","PSTL_CODE","REACHCODE","RT_NRSA","SITETYPE","SO","SORT13_ID","SORT18_ID","SOURCE","STATE","STATECTY","STATEID","STRAH_CAL","STRAH_CAT","STRAH_ORD","STUDY","US_L3CODE","US_L3NAME","US_L4CODE","US_L4NAME","WGT_EXT_SP","XCOORD","YCOORD","YEAR"
"4/29/2019","CARM-1007",2013-06-03,"Y",1,"WMTNS","West","XER","Xeric","","",0,0,"Yolo",15048089,NA,3.08,"Region_9","Target-Sampled","YES",125,"NRSA14_ST","CA81185","",1654949,"Sacramento River","H18","CA","H18020163","Lower Sacramento",38.43501,-121.5249,"California Region","H18","","",11,"MEDITERRANEAN CALIFORNIA",11.1,"MEDITERRANEAN CALIFORNIA","11.1.2","Central California Valley","Sacramento River","Private","","Target_Sampled","CA_RiversMajor_XER","Base_NewRiversMajor","Include","CA","Target","Urban",1,416.14148,"YES",NA,"","","","CA",1.8e+13,"Im","PROB",7,"CA1007","CA_10036","NHDPlusV1","CA",6113,"",7,"RiversMajor",7,"NRSA",7,"Central California Valley","7j","Delta",34.36641489,-2180653,399419.8,"2013"
"4/29/2019","AZR9-0902",2013-05-27,"Y",1,"WMTNS","West","XER","Xeric","Boatable","",0,0,"Coconino",20736341,100,866.86,"Region_9","Target-Sampled","YES",130,"NRSA14_ST","AZ51400","",45730,"Colorado River","H15","CO","H15010001","Lower Colorado-Marble Canyon",36.43346223,-111.8640926,"Lower Colorado Region","H15","","",10,"NORTH AMERICAN DESERTS",10.1,"COLD DESERTS","10.1.7","Arizona/New Mexico Plateau","Colorado River","NPS","AZ_7th+","Target_Sampled","AZ_Rivers_AZ_7th+","Base_09River","Include","AZ","Target","NonUrban",1,1,"YES",145,"National Park","Federal","National Park Service (NPS)","AZ",1.5e+13,"In","PROB",8,"AZ0902","AZ_10005","NHDPlusV1","AZ",4005,"",8,"RiversMajor",8,"NRSA",22,"Arizona/New Mexico Plateau","22w","Grand Canyon",28.40589786,-1402647.068,-2155.033,"2013"
"4/29/2019","AZR9-0901",2013-05-30,"Y",1,"WMTNS","West","XER","Xeric","Boatable","",0,0,"Coconino",20736507,100,804.45,"Region_9","Target-Sampled","YES",130,"NRSA14_ST","AZ49828","",45730,"Colorado River","H15","CO","H15010001","Lower Colorado-Marble Canyon",36.08766461,-111.8706113,"Lower Colorado Region","H15","","",10,"NORTH AMERICAN DESERTS",10.1,"COLD DESERTS","10.1.7","Arizona/New Mexico Plateau","Colorado River","NPS","AZ_7th+","Target_Sampled","AZ_Rivers_AZ_7th+","Base_09River","Include","AZ","Target","NonUrban",1,1,"YES",145,"National Park","Federal","National Park Service (NPS)","AZ",1.5e+13,"In","PROB",8,"AZ0901","AZ_10004","NHDPlusV1","AZ",4005,"",9,"RiversMajor",9,"NRSA",22,"Arizona/New Mexico Plateau","22w","Grand Canyon",28.40589786,-1409656.042,-40250.352,"2013"
"4/29/2019","CARM-1003",2013-06-04,"Y",1,"WMTNS","West","XER","Xeric","","",0,0,"San Joaquin",1897364,NA,5.45,"Region_9","Target-Sampled","YES",125,"NRSA14_ST","CA115082","",273488,"San Joaquin River","H18","CA","H18040003","San Joaquin Delta",37.90976,-121.3253,"California Region","H18","","",11,"MEDITERRANEAN CALIFORNIA",11.1,"MEDITERRANEAN CALIFORNIA","11.1.2","Central California Valley","San Joaquin River","Private","","Target_Sampled","CA_RiversMajor_XER","Base_NewRiversMajor","Include","CA","Target","Urban",1,416.14148,"YES",NA,"","","","CA",1.8e+13,"Im","PROB",7,"CA1003","CA_10033","NHDPlusV1","CA",6077,"",7,"RiversMajor",7,"NRSA",7,"Central California Valley","7m","San Joaquin Basin",34.36641489,-2179511,338062.9,"2013"
"4/29/2019","NJRO-1019",2013-06-04,"Y",1,"EHIGH","Eastern Highlands","SAP","Southern Appalachians","","",0,0,"Essex",6251384,NA,1.17,"Region_2","Target-Sampled","YES",118,"NRSA14_ST","NJ5142","",879159,"Passaic River","H02","MA","H02030103","Hackensack-Passaic",40.75796,-74.16351,"Mid-Atlantic Region","H02","","",8,"EASTERN TEMPERATE FORESTS",8.3,"SOUTHEASTERN USA PLAINS","8.3.1","Northern Piedmont","Passaic River","Private","","Target_Sampled","NJ_RiversOther_SAP","Base_NewRiversOther","Include","NJ","Target","Urban",1,172.38495,"YES",NA,"","","","NJ",2.03e+12,"Im","PROB",6,"NJ1019","NJ_10007","NHDPlusV1","NJ",34013,"",6,"RiversOther",6,"NRSA",64,"Northern Piedmont","64e","Glaciated Triassic Lowlands",111.7962681,1812305,574234.8,"2013"
"4/29/2019","TXR9-0907",2013-06-04,"Y",1,"PLNLOW","Plains and Lowlands","CPL","Coastal Plains","Boatable","",0,0,"San Jacinto",1487834,NA,17.1,"Region_6","Target-Sampled","YES",141,"NRSA14_ST","TX58270","",1348789,"Trinity River","H12","TX","H12030202","Lower Trinity-Kickapoo",30.57973,-94.99791,"Rio Grande-Texas-Gulf Region","H12_13","","",8,"EASTERN TEMPERATE FORESTS",8.3,"SOUTHEASTERN USA PLAINS","8.3.7","South Central Plains","Trinity River","Private","TX_6th","Target_Sampled","TX_Rivers_TX_6th","Base_09River","Include","TX","Target","NonUrban",1,1,"YES",NA,"","","","TX",1.2e+13,"In","PROB",6,"TX0907","TX_10013","NHDPlusV1","TX",48407,"",6,"RiversMajor",6,"NRSA",35,"South Central Plains","35b","Floodplains and Low Terraces",352.8038609,95903.25,-772531.4,"2013"
"4/29/2019","GAS9-0916",2013-06-04,"Y",1,"PLNLOW","Plains and Lowlands","CPL","Coastal Plains","Wadeable","",0,0,"Washington",1945943,NA,78.42,"Region_4","Target-Sampled","YES",157,"NRSA14_ST","GA38773","",NA,"","H03S","SA","H03070102","Lower Oconee",32.80115995,-82.92292172,"South-Atlantic Region","H03","","",8,"EASTERN TEMPERATE FORESTS",8.3,"SOUTHEASTERN USA PLAINS","8.3.5","Southeastern Plains","","Private","GA_1st","Target_Sampled","GA_Streams_GA_1st","Base_09Stream","Include","GA","Target","NonUrban",1,1,"YES",NA,"","","","GA",3.07e+12,"In","PROB",1,"GA0916","GA_10004","NHDPlusV1","GA",13303,"",1,"SmallStreams",1,"NRSA",65,"Southeastern Plains","65k","Coastal Plain Red Uplands",1575.419002,1213670.297,-442044.05,"2013"
"4/29/2019","NES9-0934",2013-06-05,"Y",1,"PLNLOW","Plains and Lowlands","TPL","Temporate Plains","Wadeable","",0,0,"Lancaster",17405525,NA,347.18,"Region_7","Target-Sampled","YES",143,"NRSA14_ST","NE21700","",NA,"","H10L","MS","H10200203","Salt",40.90226,-96.60626,"Missouri Region","H10","H10L","Lower Missouri Region",9,"GREAT PLAINS",9.2,"TEMPERATE PRAIRIES","9.2.3","Western Corn Belt Plains","","Private","NE_1st","Target_Sampled","NE_Streams_NE_1st","Base_09Stream_RVT","Include","NE","Target","NonUrban",2,1,"YES",NA,"","","","NE",1.02e+13,"In","PROB",1,"NE0934","NE_10058","NHDPlusV1","NE",31109,"",1,"SmallStreams",1,"NRSA",47,"Western Corn Belt Plains","47h","Nebraska/Kansas Loess Hills",2316.91227,-50657.94,381421.2,"2013"
"4/29/2019","KSRS-1261",2013-06-05,"Y",1,"PLNLOW","Plains and Lowlands","SPL","Southern Plains","","",0,0,"Graham",5944581,NA,644.93,"Region_7","Target-Sampled","YES",143,"NRSA14_ST","KS35660","",485293,"South Fork Solomon River","H10L","MS","H10260013","Upper South Fork Solomon",39.35249,-99.83154,"Missouri Region","H10","H10L","Lower Missouri Region",9,"GREAT PLAINS",9.4,"SOUTH CENTRAL SEMI-ARID PRAIRIES","9.4.2","Central Great Plains","South Fork Solomon River","Private","","Target_Sampled","KS_RiverStream","Base_NewRiverStream","Include","KS","Target","NonUrban",1,987.90857,"YES",NA,"","","","KS",1.03e+13,"In","PROB",5,"KS1261","KS_10073","NHDPlusV1","KS",20065,"SPB-261",5,"RiversOther",5,"NRSA",27,"Central Great Plains","27b","Rolling Plains and Breaks",341.4498869,-327072.3,214224.5,"2013"
"4/29/2019","KSRS-1277",2013-06-05,"Y",1,"PLNLOW","Plains and Lowlands","SPL","Southern Plains","","",0,0,"Ellis",7328670,NA,517.8,"Region_7","Target-Sampled","YES",143,"NRSA14_ST","KS25445","",485315,"Saline River","H10L","MS","H10260009","Upper Saline",39.04576,-99.04318,"Missouri Region","H10","H10L","Lower Missouri Region",9,"GREAT PLAINS",9.4,"SOUTH CENTRAL SEMI-ARID PRAIRIES","9.4.2","Central Great Plains","Saline River","Private","","Target_Sampled","KS_RiverStream","Base_NewRiverStream","Include","KS","Target","NonUrban",1,987.90857,"YES",NA,"","","","KS",1.03e+13,"Im","PROB",5,"KS1277","KS_10074","NHDPlusV1","KS",20051,"SPB-277",5,"RiversOther",5,"NRSA",27,"Central Great Plains","27b","Rolling Plains and Breaks",341.4498869,-260902,177430.1,"2013"
"4/29/2019","OKR9-0901",2013-06-03,"Y",1,"PLNLOW","Plains and Lowlands","SPL","Southern Plains","Wadeable","",0,0,"Roger Mills",5265128,NA,582.48,"Region_6","Target-Sampled","YES",144,"NRSA14_ST","OK20341","",1101881,"Canadian River","H11","MS","H11090201","Lower Canadian-Deer",35.92582,-99.51525,"Arkansas-White-Red Region","H11","H11","Arkansas-White-Red Region",9,"GREAT PLAINS",9.4,"SOUTH CENTRAL SEMI-ARID PRAIRIES","9.4.2","Central Great Plains","Canadian River","Private","OK_7th+","Target_Sampled","OK_Rivers_OK_7th+","Base_09River_RVT","Include","OK","Target","NonUrban",2,1,"YES",NA,"","","","OK",1.11e+13,"Im","PROB",7,"OK0901","OK_10002","NHDPlusV1","OK",40129,"",7,"RiversMajor",7,"NRSA",27,"Central Great Plains","27q","Rolling Red Hills",115.8330751,-314285.2,-170542.2,"2013"
"4/29/2019","PALS-1091",2013-06-05,"Y",1,"EHIGH","Eastern Highlands","NAP","Northern Appalachians","","",0,0,"Tioga",8144508,111,379.39,"Region_3","Target-Sampled","YES",158,"NRSA14_ST","PA58019","",1179898,"Long Run","H02","MA","H02050205","Pine",41.75655,-77.5552,"Mid-Atlantic Region","H02","","",5,"NORTHERN FORESTS",5.3,"ATLANTIC HIGHLANDS","5.3.3","North Central Appalachians","Long Run","State","","Target_Sampled","PA_LargeStreams_NAP","Base_NewLargeStreams","Include","PA","Target","NonUrban",1,1102.45991,"YES",330,"Habitat or Species Management Area","State","State Fish and Wildlife","PA",2.05e+12,"R","PROB",3,"PA1091","PA_10057","NHDPlusV1","PA",42117,"",3,"LargeStreams",3,"NRSA",62,"North Central Appalachians","62c","Glaciated High Allegheny Plateau",552.2456821,1513129,624192.6,"2013"
